Vds	Vsg = 150	Vsg = 300	Vsg = 450	Vsg = 600	Vsg = 750	Vsg = 900
0.9	-4.76000000000001e-06	-0.000435999999999991	-0.00831999999999985	-0.0144000000000005	-0.00919999999999809	0.0004000000000004
0.895	-4.69500000000001e-06	-0.000407666666666662	-0.00721666666666656	-0.013066666666667	-0.0113999999999991	0.000166666666666833
0.89	-4.766e-06	-0.000375199999999997	-0.00635199999999997	-0.0124400000000002	-0.0130599999999996	6.000000000006e-05
0.885	-4.739e-06	-0.000353799999999999	-0.00571199999999999	-0.0118400000000002	-0.0143199999999999	4.000000000004e-05
0.88	-4.684e-06	-0.000338	-0.00523599999999999	-0.0114200000000001	-0.0153400000000001	-4.000000000004e-05
0.875	-4.627e-06	-0.000331399999999999	-0.00506000000000002	-0.0113200000000001	-0.0156400000000001	-2.000000000002e-05
0.87	-4.573e-06	-0.000331	-0.00503400000000002	-0.01126	-0.01552	0.0001000000000001
0.865	-4.536e-06	-0.0003322	-0.00505599999999999	-0.0111599999999999	-0.0153999999999998	0.00012000000000012
0.86	-4.52e-06	-0.00033	-0.00506399999999999	-0.0110999999999999	-0.0152799999999999	6.000000000006e-05
0.855	-4.51600000000001e-06	-0.000327	-0.00503000000000002	-0.01106	-0.01524	4.00000000000395e-05
0.85	-4.50900000000001e-06	-0.0003258	-0.00505800000000001	-0.01106	-0.01538	2.00000000000195e-05
0.845	-4.41900000000001e-06	-0.000323	-0.005114	-0.0110800000000001	-0.01564	-4.00000000000404e-05
0.84	-4.30600000000002e-06	-0.000322	-0.00507400000000002	-0.0111000000000001	-0.0160000000000001	-8.00000000000802e-05
0.835	-4.30500000000001e-06	-0.000323200000000001	-0.00500600000000003	-0.01114	-0.0162400000000002	-4.00000000000402e-05
0.83	-4.33200000000001e-06	-0.000321200000000001	-0.004994	-0.01118	-0.0162200000000001	2.00000000000202e-05
0.825	-4.326e-06	-0.000321000000000001	-0.004988	-0.0112399999999999	-0.0161	4.00000000000402e-05
0.82	-4.341e-06	-0.000321600000000001	-0.004954	-0.0112799999999999	-0.01598	4.00000000000402e-05
0.815	-4.33099999999999e-06	-0.000318400000000001	-0.00494599999999998	-0.01124	-0.0157800000000001	2.000000000002e-05
0.81	-4.26499999999999e-06	-0.000316600000000001	-0.00496799999999998	-0.0112000000000001	-0.0157	0
0.805	-4.22699999999999e-06	-0.000314	-0.004976	-0.0112400000000001	-0.0158599999999999	6.000000000006e-05
0.8	-4.21e-06	-0.0003094	-0.00500000000000001	-0.01128	-0.0160199999999999	0.00012000000000012
0.795	-4.19199999999999e-06	-0.0003076	-0.00500800000000001	-0.0113	-0.01608	8.000000000008e-05
0.79	-4.187e-06	-0.0003044	-0.00499600000000001	-0.0113799999999999	-0.0161799999999999	2.000000000002e-05
0.785	-4.14199999999999e-06	-0.000299999999999999	-0.005044	-0.0114599999999999	-0.0163199999999999	-4.000000000004e-05
0.78	-4.05399999999999e-06	-0.000299399999999999	-0.00505799999999999	-0.01142	-0.0163000000000001	-0.00012000000000012
0.775	-4.00499999999999e-06	-0.000298599999999999	-0.00497399999999999	-0.01132	-0.0162600000000001	-0.00014000000000014
0.77	-3.99e-06	-0.000297399999999999	-0.00495799999999999	-0.0113200000000001	-0.0163800000000001	-8.00000000000799e-05
0.765	-3.98499999999999e-06	-0.000298399999999999	-0.004992	-0.0114000000000001	-0.0164800000000001	-2.000000000002e-05
0.76	-4.01199999999999e-06	-0.000298999999999999	-0.004928	-0.0114	-0.0164400000000001	2.000000000002e-05
0.755	-4.04899999999999e-06	-0.0002972	-0.004888	-0.0113999999999999	-0.0165	4.000000000004e-05
0.75	-4.05899999999999e-06	-0.000295800000000001	-0.00495199999999999	-0.0114999999999999	-0.01664	4.000000000004e-05
0.745	-4.018e-06	-0.000298	-0.00496999999999999	-0.0115599999999999	-0.0167199999999999	4.000000000004e-05
0.74	-3.94500000000001e-06	-0.0002974	-0.004928	-0.0115399999999999	-0.0168199999999998	4.000000000004e-05
0.735	-3.84000000000001e-06	-0.0002928	-0.004964	-0.0115399999999999	-0.0169199999999997	4.000000000004e-05
0.73	-3.74400000000002e-06	-0.0002908	-0.00501000000000001	-0.0115199999999999	-0.0169199999999999	2.000000000002e-05
0.725	-3.68800000000001e-06	-0.0002918	-0.00499400000000002	-0.01144	-0.01688	0
0.72	-3.654e-06	-0.0002908	-0.00500000000000002	-0.0114400000000001	-0.01688	-2.000000000002e-05
0.715	-3.678e-06	-0.0002866	-0.00499000000000001	-0.0115400000000001	-0.0168800000000001	-4.000000000004e-05
0.71	-3.718e-06	-0.0002858	-0.004932	-0.0116000000000001	-0.0169200000000003	-0.00168000000000001
0.705	-3.733e-06	-0.0002868	-0.004916	-0.0116600000000001	-0.0170600000000002	-0.00629999999999996
0.7	-3.752e-06	-0.0002828	-0.004892	-0.01176	-0.0171799999999999	-0.0118799999999998
0.695	-3.73700000000001e-06	-0.000278000000000001	-0.004818	-0.01172	-0.0171799999999999	-0.0169999999999998
0.69	-3.68500000000001e-06	-0.000279800000000001	-0.004818	-0.0116	-0.01722	-0.0221399999999998
0.685	-3.64800000000001e-06	-0.0002814	-0.00485000000000002	-0.01154	-0.0172800000000001	-0.0258399999999999
0.68	-3.592e-06	-0.0002784	-0.00482600000000001	-0.01156	-0.0173200000000001	-0.0266600000000001
0.675	-3.525e-06	-0.000276	-0.00480399999999999	-0.0117200000000001	-0.0173800000000002	-0.0265000000000003
0.67	-3.50999999999999e-06	-0.000273199999999999	-0.00481799999999999	-0.0118200000000001	-0.0174200000000001	-0.0268800000000001
0.665	-3.50099999999999e-06	-0.0002696	-0.00483999999999999	-0.0117600000000001	-0.0174999999999999	-0.0272999999999999
0.66	-3.478e-06	-0.000269	-0.00487199999999998	-0.01188	-0.0176399999999999	-0.0274999999999999
0.655	-3.478e-06	-0.0002702	-0.00491199999999998	-0.01204	-0.01778	-0.0277799999999997
0.65	-3.496e-06	-0.000268199999999999	-0.004942	-0.0118999999999999	-0.01794	-0.0282799999999998
0.645	-3.513e-06	-0.000266599999999999	-0.004962	-0.0118199999999999	-0.01808	-0.02878
0.64	-3.466e-06	-0.000268	-0.004952	-0.0119399999999999	-0.0181600000000001	-0.0292400000000001
0.635	-3.413e-06	-0.000265999999999999	-0.004898	-0.0119599999999999	-0.01832	-0.0298400000000001
0.63	-3.417e-06	-0.000261399999999999	-0.00484199999999999	-0.01194	-0.0183799999999998	-0.0305200000000002
0.625	-3.37e-06	-0.000261400000000001	-0.004826	-0.0120200000000001	-0.0183199999999999	-0.0311600000000003
0.62	-3.3e-06	-0.000262200000000001	-0.00483	-0.0120800000000001	-0.0185600000000001	-0.0317600000000002
0.615	-3.293e-06	-0.000259200000000001	-0.00484000000000001	-0.0121000000000001	-0.0188400000000001	-0.0325000000000002
0.61	-3.292e-06	-0.000257000000000001	-0.00486800000000001	-0.0121	-0.0187600000000001	-0.0332600000000001
0.605	-3.261e-06	-0.0002584	-0.00489400000000002	-0.01206	-0.0187200000000001	-0.0338399999999999
0.6	-3.25199999999999e-06	-0.000259199999999999	-0.004852	-0.01208	-0.0188200000000001	-0.0345999999999997
0.595	-3.26199999999999e-06	-0.000256999999999999	-0.004784	-0.0121	-0.0187999999999998	-0.0355399999999998
0.59	-3.25799999999999e-06	-0.000254599999999999	-0.00478799999999999	-0.012	-0.0189199999999998	-0.0363799999999999
0.585	-3.22299999999999e-06	-0.000253199999999999	-0.00481599999999999	-0.01198	-0.01922	-0.0372799999999999
0.58	-3.153e-06	-0.0002532	-0.00479	-0.0121400000000001	-0.0194599999999999	-0.0383400000000001
0.575	-3.103e-06	-0.0002532	-0.004798	-0.0121800000000001	-0.0197199999999999	-0.0393200000000002
0.57	-3.07700000000001e-06	-0.000253	-0.00484600000000001	-0.0121800000000001	-0.01988	-0.0402600000000001
0.565	-3.04900000000001e-06	-0.0002532	-0.00482800000000002	-0.01238	-0.01986	-0.0413400000000001
