Dispositivi	SDLM grado 2	SDLM grado 4	SDLM grado 6	SDLM grado 8	TCM grado 2	TCM grado 4	TCM grado 6	TCM grado 8
P1-100-30	331.6	328.8	330.7	331.8	430.6	433.9	434.4	436.0
P1-100-60	424.6	416.8	415.5	417.8	472.2	473.8	472.7	472.3
P1-200-180	463.6	457.6	456.9	455.2	505.6	506.0	506.5	507.2
P1-200-30	305.7	299.6	299.8	299.9	401.9	404.9	404.8	403.1
P1-200-60	416.5	408.2	407.3	407.4	455.7	458.7	458.6	457.7
P1-600-180	457.7	449.6	444.6	445.4	484.2	486.5	486.0	485.7
P1-600-30	299.7	294.3	297.0	304.0	388.1	392.4	391.0	391.6
P1-600-60	402.0	398.4	396.8	394.4	436.0	438.5	438.9	440.1
