Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.415	0.4298	0.1393
20	0.419516	0.4279	0.0104
30	0.423911	0.433	0.104
40	0.427982	0.4394	0.0939
50	0.431725	0.4458	0.0845
60	0.435127	0.4512	0.0746
70	0.43836	0.4556	0.0648
80	0.441211	0.4613	0.054
90	0.443842	0.4669	0.0389
100	0.446211	0.4713	-0.0989
150	0.454756	0.4919	0.4278
300	0.461283	0.5334	0.4245
450	0.461554	0.5401	0.4233
600	0.461414	0.5434	0.4246
750	0.461262	0.5382	0.4213
900	0.461119	0.5333	0.4221
