|Vds|	Gm_|Vgs|=0.15V	Gm_|Vgs|=0.3V	Gm_|Vgs|=0.45V	Gm_|Vgs|=0.6V	Gm_|Vgs|=0.75V	Gm_|Vgs|=0.9V
0.9	2.20000000000006e-07	6.3999999999998e-06	0.000519999999999991	0.00120000000000016	0.000800000000000799	0.0151999999999999
0.895	2.18000000000003e-07	3.93333333333314e-06	0.000476666666666665	0.00140000000000007	0.00120000000000051	0.0119
0.89	2.15400000000001e-07	4.7599999999999e-06	0.000389999999999997	0.00146000000000004	0.00200000000000026	0.00915999999999999
0.885	2.09599999999999e-07	4.15999999999994e-06	0.000336000000000001	0.0016	0.00252000000000009	0.00726000000000004
0.88	2.08599999999999e-07	3.4e-06	0.000298000000000002	0.00165999999999998	0.00295999999999997	0.00580000000000011
0.875	2.12799999999999e-07	4.08000000000003e-06	0.000268	0.00157999999999998	0.00324000000000005	0.00530000000000016
0.87	2.13e-07	4.9e-06	0.000248000000000001	0.00151999999999999	0.00326000000000014	0.00534000000000013
0.865	2.07e-07	3.87999999999997e-06	0.000250000000000003	0.00153999999999999	0.00318000000000012	0.00534000000000006
0.86	2.034e-07	2.69999999999996e-06	0.000247999999999999	0.00152000000000001	0.0031600000000001	0.00524000000000003
0.855	2.04000000000001e-07	3.11999999999997e-06	0.000231999999999997	0.00146000000000002	0.00314000000000002	0.00507999999999995
0.85	1.96400000000001e-07	3.94e-06	0.000227999999999999	0.00148000000000001	0.0031599999999999	0.00497999999999985
0.845	1.92400000000001e-07	3.72000000000003e-06	0.000234000000000001	0.00157999999999999	0.00321999999999989	0.00497999999999992
0.84	2.02600000000001e-07	3.32000000000003e-06	0.000233999999999999	0.00163999999999998	0.00319999999999988	0.00498000000000007
0.835	2.05800000000001e-07	3.64000000000002e-06	0.00024	0.00157999999999999	0.0032199999999999	0.00504000000000013
0.83	1.976e-07	4.7e-06	0.000248000000000002	0.00152	0.00330000000000004	0.00528000000000015
0.825	1.966e-07	5.07999999999999e-06	0.000254000000000001	0.00154	0.00324000000000012	0.0054400000000001
0.82	2.026e-07	4.05999999999999e-06	0.00026	0.00152000000000001	0.00320000000000008	0.0054
0.815	1.96e-07	3.26000000000003e-06	0.000261999999999999	0.00142000000000001	0.00330000000000004	0.00537999999999996
0.81	1.884e-07	3.10000000000005e-06	0.000269999999999997	0.00142	0.00329999999999997	0.00543999999999995
0.805	1.86199999999999e-07	2.43999999999999e-06	0.000263999999999998	0.00154	0.00323999999999991	0.00543999999999995
0.8	1.79799999999999e-07	1.97999999999997e-06	0.000247999999999999	0.0016	0.00327999999999995	0.00538000000000003
0.795	1.74199999999999e-07	3.26e-06	0.000247999999999999	0.00162000000000001	0.00335999999999996	0.00544000000000009
0.79	1.706e-07	5.71999999999997e-06	0.00025	0.00168000000000001	0.00345999999999999	0.00554000000000005
0.785	1.64e-07	6.85999999999996e-06	0.000250000000000003	0.00174	0.00348000000000008	0.00542
0.78	1.592e-07	6.08000000000001e-06	0.000266000000000003	0.00171999999999998	0.00344000000000004	0.00530000000000002
0.775	1.566e-07	5.20000000000001e-06	0.000272	0.00161999999999999	0.00347999999999994	0.00547999999999999
0.77	1.468e-07	4.19999999999999e-06	0.000261999999999999	0.00156	0.00349999999999996	0.00563999999999995
0.765	1.402e-07	3.02000000000001e-06	0.000258000000000001	0.00158	0.00342000000000002	0.00563999999999995
0.76	1.492e-07	2.82000000000001e-06	0.000246	0.00154000000000001	0.00342000000000002	0.0057999999999999
0.755	1.626e-07	3.26e-06	0.000239999999999999	0.00152000000000003	0.00352000000000005	0.00597999999999987
0.75	1.626e-07	3.6e-06	0.00025	0.00164000000000003	0.00354000000000007	0.00591999999999995
0.745	1.606e-07	4.57999999999998e-06	0.000260000000000002	0.00174	0.00350000000000003	0.00585999999999996
0.74	1.67400000000001e-07	4.61999999999997e-06	0.000272000000000003	0.00175999999999999	0.00346	0.00591999999999996
0.735	1.628e-07	3.82000000000001e-06	0.000274000000000002	0.00175999999999999	0.00346	0.00584000000000009
0.73	1.568e-07	4.54000000000003e-06	0.000257999999999999	0.00173999999999997	0.00350000000000004	0.00568000000000014
0.725	1.624e-07	4.96e-06	0.000257999999999999	0.00169999999999997	0.00358000000000005	0.00576000000000008
0.72	1.572e-07	3.40000000000004e-06	0.000264	0.00166	0.00368000000000001	0.00596000000000007
0.715	1.49199999999999e-07	2.88000000000004e-06	0.000253999999999998	0.00162000000000001	0.00373999999999999	0.00608000000000004
0.71	1.52e-07	4.37999999999998e-06	0.000253999999999998	0.00164000000000001	0.00378000000000003	0.00621999999999997
0.705	1.43000000000001e-07	4.69999999999999e-06	0.000256	0.00168000000000002	0.00379999999999999	0.00639999999999996
0.7	1.26400000000001e-07	3.86000000000001e-06	0.000248	0.00168000000000002	0.00375999999999995	0.00644
0.695	1.26600000000001e-07	3.84e-06	0.000252	0.00172000000000002	0.00368000000000001	0.00642000000000005
0.69	1.298e-07	4.98000000000002e-06	0.000273999999999999	0.00176000000000001	0.00363999999999997	0.00652000000000008
0.685	1.232e-07	5.74000000000006e-06	0.000286	0.00173999999999999	0.00367999999999987	0.00662000000000011
0.68	1.158e-07	5.00000000000002e-06	0.000290000000000001	0.00174	0.00373999999999992	0.00662000000000009
0.675	1.082e-07	4.29999999999997e-06	0.000300000000000001	0.00176000000000001	0.00373999999999999	0.00664000000000004
0.67	1.09e-07	3.97999999999995e-06	0.000293999999999997	0.00169999999999998	0.00379999999999998	0.00670000000000003
