Vgs	Gm_Vds=0.15V	Gm_Vds=0.30V	Gm_Vds=0.45V	Gm_Vds=0.60V	Gm_Vds=0.75V	Gm_Vds=0.90V
0.64	0.06984	0.12696	0.13624	0.13848	0.13994	0.14108
0.645	0.06876	0.12758	0.13774	0.13996	0.14138	0.14248
0.65	0.06758	0.128	0.13924	0.14136	0.14274	0.14386
0.655	0.06636	0.1284	0.1406	0.1427	0.14408	0.1452
0.66	0.06516	0.12872	0.14184	0.14404	0.14534	0.14652
0.665	0.06396	0.12888	0.14302	0.1454	0.1467	0.14792
0.67	0.06274	0.12894	0.14412	0.14674	0.14806	0.1493
0.675	0.06152	0.12894	0.14522	0.14802	0.1493	0.15054
0.68	0.06034	0.12878	0.14628	0.14912	0.1505	0.15166
0.685	0.05916	0.1285	0.14728	0.15012	0.15162	0.15276
0.69	0.0579	0.12814	0.14832	0.15114	0.15272	0.15382
0.695	0.05662	0.12766	0.14936	0.15218	0.15388	0.15486
0.7	0.0554	0.12704	0.15028	0.15326	0.15498	0.15594
0.705	0.0542	0.12638	0.15118	0.15446	0.1561	0.15712
0.71	0.053	0.1257	0.15212	0.15572	0.15726	0.15828
0.715	0.05186	0.1249	0.15292	0.1568	0.15824	0.15932
0.72	0.05078	0.124	0.1536	0.1577	0.15918	0.16034
0.725	0.0497	0.12306	0.15424	0.1586	0.1602	0.1613
0.73	0.0486	0.12202	0.15484	0.15956	0.16116	0.1622
0.735	0.0475	0.1208	0.15536	0.16048	0.16206	0.1631
0.74	0.04642	0.11952	0.15584	0.16132	0.163	0.16396
0.745	0.04532	0.11824	0.15626	0.16214	0.16386	0.1648
0.75	0.04422	0.1169	0.15658	0.16296	0.16458	0.16568
0.755	0.04318	0.11544	0.1569	0.1637	0.16532	0.16646
0.76	0.04218	0.11388	0.1572	0.16436	0.1661	0.16716
0.765	0.04124	0.11224	0.15738	0.16506	0.1668	0.16794
0.77	0.04032	0.11058	0.15746	0.16582	0.1675	0.1687
0.775	0.03934	0.10898	0.15746	0.16648	0.16832	0.1694
0.78	0.0384	0.10742	0.15736	0.16704	0.16912	0.1702
0.785	0.0375	0.10584	0.1572	0.1677	0.16982	0.17104
0.79	0.03656	0.10422	0.15706	0.16844	0.17048	0.17174
0.795	0.03568	0.10246	0.15674	0.1689	0.17098	0.17218
0.8	0.0349	0.10062	0.15632	0.16926	0.17148	0.17262
0.805	0.03408	0.0988	0.15598	0.16984	0.17214	0.17318
0.81	0.03324	0.09696	0.15546	0.1703	0.17282	0.17366
0.815	0.03246	0.09518	0.1547	0.17062	0.17344	0.17416
