vg	id_vd = 0.0V	ig_vd = 0.0V	is_vd = 0.0V	iavdd_vd = 0.0V	ignd_vd = 0.0V	id_vd = 0.15000000000000002V	ig_vd = 0.15000000000000002V	is_vd = 0.15000000000000002V	iavdd_vd = 0.15000000000000002V	ignd_vd = 0.15000000000000002V	id_vd = 0.30000000000000004V	ig_vd = 0.30000000000000004V	is_vd = 0.30000000000000004V	iavdd_vd = 0.30000000000000004V	ignd_vd = 0.30000000000000004V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6000000000000001V	ig_vd = 0.6000000000000001V	is_vd = 0.6000000000000001V	iavdd_vd = 0.6000000000000001V	ignd_vd = 0.6000000000000001V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
0.27	-9.3878e-08	1.823e-11	3.7039000000000005e-10	4.1878e-07	-3.2534e-07	-5.64824e-08	-1.7037e-10	3.1330000000000005e-10	3.815e-07	-3.2524e-07	-3.19078e-08	-2.8515000000000004e-10	2.8563000000000003e-10	3.5616e-07	-3.2434e-07	-1.54916e-08	-4.4104e-10	2.625e-10	3.395e-07	-3.243e-07	-5.9593e-09	-7.3679e-10	2.3247000000000003e-10	3.3086e-07	-3.2426e-07	-9.7894e-10	-1.1626e-09	1.8833e-10	3.2622e-07	-3.2428e-07	2.765e-09	-2.098e-09	1.6922e-10	3.2362e-07	-3.2424e-07
0.265	-9.3967e-08	8.36e-12	3.7781e-10	4.1898e-07	-3.2532e-07	-5.6500799999999993e-08	-1.7901e-10	3.1963e-10	3.8166e-07	-3.2528e-07	-3.18998e-08	-2.9301e-10	2.8872e-10	3.562e-07	-3.2428e-07	-1.57018e-08	-4.4935000000000006e-10	2.5471000000000004e-10	3.4014e-07	-3.2438e-07	-6.1104e-09	-7.4991e-10	2.2103e-10	3.3086e-07	-3.243e-07	-8.5334e-10	-1.1875e-09	2.013e-10	3.261e-07	-3.243e-07	2.5802e-09	-2.1444e-09	1.5902e-10	3.2356e-07	-3.2412e-07
0.26	-9.40884e-08	-7.100000000000001e-13	3.6872000000000005e-10	4.1894e-07	-3.2534e-07	-5.65538e-08	-1.8503e-10	3.1993e-10	3.8184e-07	-3.2524e-07	-3.18992e-08	-2.9917e-10	2.8410000000000003e-10	3.5624e-07	-3.2434e-07	-1.5585999999999998e-08	-4.6127000000000005e-10	2.6028e-10	3.4022e-07	-3.244e-07	-6.0015e-09	-7.6373e-10	2.3235000000000003e-10	3.3084e-07	-3.2394e-07	-1.02042e-09	-1.2094e-09	1.8784e-10	3.2626e-07	-3.2438e-07	2.7519e-09	-2.1944e-09	1.7133000000000002e-10	3.2352e-07	-3.2428e-07
0.255	-9.397219999999999e-08	-1.072e-11	3.7976e-10	4.1904e-07	-3.253e-07	-5.660919999999999e-08	-1.9329e-10	3.1521000000000004e-10	3.8202e-07	-3.2552e-07	-3.18692e-08	-3.0546000000000005e-10	2.9044000000000003e-10	3.5614e-07	-3.2432e-07	-1.56422e-08	-4.6953e-10	2.5650000000000004e-10	3.4012e-07	-3.2434e-07	-6.0688e-09	-7.7896e-10	2.2527e-10	3.3088e-07	-3.243e-07	-7.2334e-10	-1.2367e-09	1.9966e-10	3.263e-07	-3.2428e-07	2.7166e-09	-2.2426e-09	1.6057000000000002e-10	3.2364e-07	-3.243e-07
0.25	-9.410579999999998e-08	-2.013e-11	3.6875e-10	4.1898e-07	-3.2534e-07	-5.6626e-08	-1.9814000000000003e-10	3.2159e-10	3.8188e-07	-3.2516e-07	-3.18182e-08	-3.1135e-10	2.9037e-10	3.5632e-07	-3.2434e-07	-1.5494999999999997e-08	-4.8215e-10	2.6073000000000004e-10	3.4016e-07	-3.243e-07	-5.9818e-09	-7.9215e-10	2.2743e-10	3.309e-07	-3.2434e-07	-9.0131e-10	-1.2615e-09	1.928e-10	3.2622e-07	-3.2442e-07	2.9022e-09	-2.2963e-09	1.6949e-10	3.2356e-07	-3.2424e-07
0.245	-9.40778e-08	-3.059e-11	3.8227e-10	4.1918e-07	-3.254e-07	-5.67974e-08	-2.0413e-10	3.1801e-10	3.8198e-07	-3.253e-07	-3.1974e-08	-3.1748e-10	2.8794000000000004e-10	3.5622e-07	-3.242e-07	-1.5496e-08	-4.903600000000001e-10	2.5983e-10	3.401e-07	-3.2444e-07	-5.8811e-09	-8.0817e-10	2.3084000000000003e-10	3.3096e-07	-3.2434e-07	-8.947e-10	-1.2868e-09	1.9683e-10	3.2618e-07	-3.2424e-07	2.8332e-09	-2.349e-09	1.6438e-10	3.2364e-07	-3.2424e-07
0.24	-9.425439999999999e-08	-3.785e-11	3.7054000000000005e-10	4.1916e-07	-3.2526e-07	-5.687539999999999e-08	-2.1026e-10	3.2606e-10	3.819e-07	-3.2524e-07	-3.19264e-08	-3.2234000000000005e-10	2.9233e-10	3.5626e-07	-3.2432e-07	-1.5503999999999998e-08	-5.0258e-10	2.5671000000000004e-10	3.4014e-07	-3.2442e-07	-6.1175e-09	-8.1924e-10	2.2334000000000003e-10	3.3024e-07	-3.2432e-07	-7.1041e-10	-1.3159e-09	1.9788e-10	3.2622e-07	-3.242e-07	2.875e-09	-2.4018e-09	1.6606000000000002e-10	3.2358e-07	-3.2424e-07
0.235	-9.4171e-08	-4.894e-11	3.8349e-10	4.1922e-07	-3.254e-07	-5.70626e-08	-2.1595e-10	3.1903000000000003e-10	3.8214e-07	-3.2526e-07	-3.19982e-08	-3.3005e-10	2.9229000000000003e-10	3.563e-07	-3.2432e-07	-1.5483199999999998e-08	-5.112000000000001e-10	2.6596000000000003e-10	3.4012e-07	-3.2428e-07	-5.8435e-09	-8.3802e-10	2.3567e-10	3.3088e-07	-3.2428e-07	-8.1607e-10	-1.3395e-09	1.9135e-10	3.262e-07	-3.2432e-07	3.0131e-09	-2.4603e-09	1.6864000000000002e-10	3.2356e-07	-3.2424e-07
0.23	-9.451379999999998e-08	-5.521e-11	3.7128e-10	4.1962e-07	-3.2542e-07	-5.69834e-08	-2.2406000000000003e-10	3.2615e-10	3.8224e-07	-3.2532e-07	-3.19212e-08	-3.3626000000000004e-10	2.9269e-10	3.5632e-07	-3.2426e-07	-1.5602399999999998e-08	-5.2313e-10	2.5825e-10	3.4e-07	-3.2434e-07	-5.9917e-09	-8.5126e-10	2.2344e-10	3.309e-07	-3.2434e-07	-6.9173e-10	-1.3702e-09	2.0367e-10	3.263e-07	-3.2446e-07	3.0207e-09	-2.513e-09	1.6124e-10	3.2364e-07	-3.2434e-07
0.225	-9.44684e-08	-6.706e-11	3.8273e-10	4.1942e-07	-3.2532e-07	-5.7080999999999993e-08	-2.2984000000000003e-10	3.2029000000000004e-10	3.8224e-07	-3.2522e-07	-3.18696e-08	-3.4287000000000003e-10	2.9403e-10	3.563e-07	-3.2428e-07	-1.5410999999999998e-08	-5.335100000000001e-10	2.6907000000000003e-10	3.4014e-07	-3.2434e-07	-5.8501e-09	-8.677600000000001e-10	2.3678000000000003e-10	3.3098e-07	-3.2434e-07	-8.2178e-10	-1.3951e-09	1.8924e-10	3.2624e-07	-3.2432e-07	3.1006e-09	-2.5726e-09	1.7097e-10	3.2354e-07	-3.2428e-07
