<<<<<<< HEAD
101 2.01339501675789e-07
104.18 1.44567835000329e-07
107.361 1.62728432400369e-07
110.541 2.14137254753101e-07
113.721 2.35516026612618e-07
116.902 2.03577563320122e-07
120.082 1.61410723859091e-07
123.262 1.59918443083724e-07
126.443 1.48659742616562e-07
129.623 1.78388423229144e-07
132.803 2.16680840749953e-07
135.983 2.32047392572405e-07
139.164 2.17880688346468e-07
142.344 2.04113197005978e-07
145.524 1.78116298932059e-07
148.705 1.92312597897392e-07
151.885 2.06386831561774e-07
155.065 2.20316289929457e-07
158.246 1.96197472813093e-07
161.426 1.75500929998575e-07
164.606 1.80089000201765e-07
167.787 2.02704252999332e-07
170.967 2.1162630248885e-07
174.147 1.9049877090566e-07
177.328 1.70318549618832e-07
180.508 1.60584372354739e-07
183.688 1.5203048165909e-07
186.868 1.64435794886258e-07
190.049 1.43811507861276e-07
193.229 1.46325537607796e-07
196.409 1.65423415789468e-07
199.59 2.13300404078398e-07
202.77 2.1194590263562e-07
205.95 1.98202339411213e-07
209.131 1.66663296358177e-07
212.311 1.63687204502395e-07
215.491 1.72701555257726e-07
218.672 1.54129562057989e-07
221.852 1.2887795286131e-07
225.032 1.29804831161238e-07
228.213 1.4624313337752e-07
231.393 1.51442382080796e-07
234.573 1.40995445768416e-07
237.753 1.63166199888045e-07
240.934 1.7568852896671e-07
244.114 2.0724061690373e-07
247.294 1.94916070647031e-07
250.475 1.7269904590603e-07
253.655 1.74314313796106e-07
256.835 1.67701293468453e-07
260.016 1.51243255799409e-07
263.196 1.51614242705346e-07
264.196 1.51362566413575e-07
272.598 1.35591091548254e-07
281.001 1.2311197466665e-07
289.403 1.28394493468836e-07
297.806 1.19096339344391e-07
306.208 1.06360092485258e-07
314.611 1.16435196765588e-07
323.013 1.20794337393958e-07
331.415 1.24429919868894e-07
339.818 1.25803064168733e-07
348.22 1.12654179919937e-07
356.623 1.16578308926683e-07
365.025 1.30089198312419e-07
373.428 1.35549226071379e-07
381.83 1.33629725699619e-07
390.232 1.3826668064369e-07
398.635 1.49290214292012e-07
407.037 1.54328021335655e-07
