<<<<<<< HEAD
101 6.58451042156249e-06
104.18 4.72552077943532e-06
107.361 5.3434585001685e-06
110.541 7.0537689612084e-06
113.721 7.76458888223511e-06
116.902 6.70354319057019e-06
120.082 5.3265300951043e-06
123.262 5.29385513749471e-06
126.443 4.92334621098894e-06
129.623 5.91384812073041e-06
132.803 7.18816457823831e-06
135.983 7.69791644380183e-06
139.164 7.24152840693623e-06
142.344 6.78900432079013e-06
145.524 5.93230077760762e-06
148.705 6.41163416876041e-06
151.885 6.89706761887652e-06
155.065 7.35851381499124e-06
158.246 6.56015965575541e-06
161.426 5.87165354394368e-06
164.606 6.05327197089027e-06
167.787 6.81510985640905e-06
170.967 7.11694556479113e-06
174.147 6.40306157097314e-06
177.328 5.74502536014792e-06
180.508 5.40417966073022e-06
183.688 5.11084454585658e-06
186.868 5.54033929430894e-06
190.049 4.83971892386896e-06
193.229 4.94073008086452e-06
196.409 5.56970873066705e-06
199.59 7.19606666743931e-06
202.77 7.15496518932369e-06
205.95 6.68600621906681e-06
209.131 5.62777164885897e-06
212.311 5.53094999119161e-06
215.491 5.84165962765664e-06
218.672 5.21179643422132e-06
221.852 4.36054857751204e-06
225.032 4.38675981670503e-06
228.213 4.95542016310045e-06
231.393 5.12596258805344e-06
234.573 4.76749322914397e-06
237.753 5.50871366566467e-06
240.934 5.97200147778846e-06
244.114 7.04666095773905e-06
247.294 6.60760613545329e-06
250.475 5.85830445678961e-06
253.655 5.91042282057857e-06
256.835 5.68951716888041e-06
260.016 5.1425440185705e-06
263.196 5.14586633370436e-06
264.196 5.14367455716822e-06
272.598 4.61192415942829e-06
281.001 4.18271041035388e-06
289.403 4.35716893172055e-06
297.806 4.04786866162416e-06
306.208 3.6293529621551e-06
314.611 3.95306341580891e-06
323.013 4.09801530339581e-06
331.415 4.25270562335281e-06
339.818 4.2701410357102e-06
348.22 3.83760534567712e-06
356.623 3.96738412482665e-06
365.025 4.43292861045431e-06
373.428 4.61835212264072e-06
381.83 4.55481326667567e-06
390.232 4.70630465283326e-06
398.635 5.09169453740414e-06
407.037 5.25779668264338e-06
415.44 5.34460881809335e-06
423.842 4.61914054122193e-06
432.245 4.09496018839641e-06
440.647 3.28228306014274e-06
449.049 3.22476073277166e-06
457.452 3.51287207438429e-06
465.854 4.31158682021263e-06
474.257 4.65506082595857e-06
482.659 4.95813123253277e-06
491.062 5.62877088974698e-06
499.464 5.56096819656489e-06
507.867 4.85148083187792e-06
516.269 4.33720194701008e-06
524.671 4.02466062596497e-06
533.074 4.61494128653668e-06
541.476 4.56079142615057e-06
549.879 4.20453567938415e-06
558.281 4.17608294300811e-06
566.684 4.27362838987198e-06
575.086 4.61442321261647e-06
583.488 4.54133719989645e-06
591.891 4.52251885553003e-06
600.293 3.95466539459626e-06
608.696 3.27695801256365e-06
617.098 2.74580029872236e-06
625.501 2.97847261931421e-06
633.903 3.07400175718544e-06
642.305 3.72224422423879e-06
650.708 4.00253813457447e-06
659.11 4.04110784511703e-06
667.513 3.74687563870357e-06
675.915 3.59436770740001e-06
684.318 3.60400120072038e-06
692.72 3.63120987363193e-06
693.72 4.97419047336155e-06
715.867 3.79298692043668e-06
738.014 3.50650874772212e-06
760.161 3.42082328281163e-06
782.307 3.66607602439068e-06
804.454 4.07040863716364e-06
826.601 2.65316581524451e-06
848.748 2.40454996886029e-06
870.895 3.59713275796586e-06
893.042 2.96608211782997e-06
915.189 2.34850881480779e-06
937.335 2.78027467156776e-06
959.482 2.56886584596569e-06
981.629 3.14604284150324e-06
1003.776 9.35992115269076e-06
1025.923 6.78886986982023e-06
1048.07 3.12821540029775e-06
1070.217 2.70852619195289e-06
1092.364 2.74387612230582e-06
1114.51 2.99898374616574e-06
1136.657 2.43555855999649e-06
1158.804 2.28688217317022e-06
1180.951 2.09249525532701e-06
1203.098 2.18467535870207e-06
1225.245 2.38006284166202e-06
1247.392 3.0265732501248e-06
1269.538 2.56517566003032e-06
1291.685 2.11819417543746e-06
1313.832 2.67781290489728e-06
1335.979 2.73256854660164e-06
1358.126 2.42417943156901e-06
1380.273 2.28073157379385e-06
1402.42 2.3171157777711e-06
1424.566 1.9634786450061e-06
1446.713 2.14547470965658e-06
1468.86 3.22433301931284e-06
1491.007 2.41825074436192e-06
1513.154 2.58738327324282e-06
1535.301 2.7611261995467e-06
1557.448 2.55455376735918e-06
1579.595 2.47125059154686e-06
1601.741 2.796622577918e-06
1623.888 1.75823673596856e-06
1646.035 2.31000504797257e-06
1668.182 2.58419980381362e-06
1690.329 2.47108682200085e-06
1712.476 2.17630978009612e-06
1734.623 2.08517266056581e-06
1756.769 2.01484045194936e-06
1778.916 2.01651143254658e-06
1801.063 1.71689717902243e-06
1823.21 2.19643062402499e-06
1824.21 1.91019676308651e-06
1882.531 1.45498358002101e-06
1940.853 2.79777317969573e-06
1999.174 5.11916991410866e-06
2057.495 3.47402997655235e-06
2115.817 1.8486163951447e-06
2174.138 1.64356022844487e-06
2232.46 1.76379089478425e-06
2290.781 2.13938178198837e-06
2349.102 1.9252967376894e-06
2407.424 1.61414698228512e-06
2465.745 2.17834415155621e-06
2524.066 1.76619505321914e-06
2582.388 2.03753013613644e-06
2640.709 1.96636489818141e-06
2699.031 1.65947807864036e-06
2757.352 1.55495496143754e-06
2815.673 2.10888577273554e-06
2873.995 2.10775305215314e-06
2932.316 1.75843651157297e-06
2990.637 3.13480491298134e-06
3048.959 3.91768330957503e-06
3107.28 2.09713518591859e-06
3165.602 1.82475607108534e-06
3223.923 1.744469654075e-06
3282.244 1.33248007762145e-06
3340.566 1.27999075615559e-06
3398.887 1.48168705521544e-06
3457.208 1.79629208807526e-06
3515.53 1.62444828299093e-06
3573.851 1.50023985559874e-06
3632.173 1.35470393104316e-06
3690.494 1.84387114989048e-06
3748.815 1.87710498505956e-06
3807.137 1.48625327341432e-06
3865.458 1.34989887950681e-06
3923.779 1.55386838863337e-06
3982.101 1.4449501456137e-06
4040.422 2.01346152166483e-06
4098.744 2.14578681641982e-06
4157.065 1.73040832180156e-06
4215.386 1.43322118942116e-06
4273.708 1.24415120672709e-06
4332.029 1.44379942109284e-06
4390.35 1.40976966342101e-06
4448.672 1.66119378373369e-06
4506.993 1.60997792658962e-06
4565.315 1.50807088738653e-06
4623.636 1.31664269209218e-06
4681.957 1.54531316908947e-06
4740.279 1.50402588647224e-06
