Vgs	Gm_Vds=0.15V	Gm_Vds=0.3V	Gm_Vds=0.45V	Gm_Vds=0.6V	Gm_Vds=0.75V	Gm_Vds=0.9V
0.33	0.00147066	0.0015246	0.00156	0.00159944	0.00162828	0.00166298
0.335	0.0016835	0.00174668	0.0017882	0.0018329	0.0018695	0.00190546
0.34	0.00192454	0.0019988	0.00204708	0.00209924	0.00214542	0.00218448
0.345	0.00220098	0.002285	0.00234144	0.00240158	0.00245798	0.00250076
0.35	0.00251202	0.00260734	0.00267608	0.00273846	0.00280034	0.00284992
0.355	0.00285478	0.00296682	0.00304664	0.00311242	0.00317768	0.00323928
0.36	0.0032378	0.00336252	0.0034536	0.00352806	0.00360122	0.0036745
0.365	0.003661	0.00379958	0.0039052	0.0039837	0.00406808	0.00415054
0.37	0.00412122	0.0042838	0.00440132	0.00448302	0.00457796	0.00467074
0.375	0.00462624	0.004811	0.00494268	0.0050396	0.0051446	0.0052452
0.38	0.0051796	0.00538639999999999	0.0055354	0.0056506	0.00576839999999999	0.00587459999999999
0.385	0.0057808	0.00602119999999999	0.00618239999999999	0.00630899999999999	0.00644079999999999	0.00655879999999999
0.39	0.006432	0.00670839999999999	0.00688359999999999	0.00702519999999999	0.00716739999999999	0.00730059999999999
0.395	0.0071312	0.0074426	0.0076378	0.0077996	0.007956	0.0081006
0.4	0.00787800000000001	0.00823440000000001	0.00844420000000001	0.00862200000000002	0.00879640000000001	0.00895520000000002
0.405	0.00867500000000001	0.00908060000000001	0.00930460000000001	0.00949620000000002	0.00968700000000002	0.00986460000000002
0.41	0.00951580000000001	0.00997260000000001	0.0102244	0.0104324	0.0106382	0.0108328
0.415	0.0103998	0.0109222	0.0112024	0.0114262	0.0116464	0.011853
0.42	0.011333	0.011929	0.0122234	0.012469	0.0127078	0.012924
0.425	0.0123114	0.0129792	0.0132974	0.0135628	0.0138234	0.0140542
0.43	0.0133274	0.0140766	0.0144342	0.0147152	0.0149884	0.0152408
