Vd	Vth_RM	Vth_TCM	Vth_SDLM
20	0.435787	0.325	0.35
30	0.442585	0.33	0.35
40	0.441702	0.33	0.36
50	0.45378	0.335	0.355
60	0.450565	0.34	0.365
70	0.452843	0.34	0.345
80	0.454125	0.345	0.355
90	0.457151	0.35	0.345
100	0.462014	0.35	0.36
150	0.489352	0.375	0.36
300	0.512653	0.375	0.345
450	0.474742	0.37	0.34
600	NaN	0.365	0.335
750	NaN	0.365	0.32
900	0.694585	0.355	0.32
