Vds	Gds_Vgs=0.15V	Gds_Vgs=0.30V	Gds_Vgs=0.45V	Gds_Vgs=0.60V	Gds_Vgs=0.75V	Gds_Vgs=0.90V
0	3.6433e-09	6.7543e-09	1.5643e-08	4.5301e-08	1.51634e-07	6.0091e-07
0.005	3.5888e-09	6.446e-09	1.5546e-08	4.4715e-08	1.49166e-07	5.90468e-07
0.01	3.4881e-09	6.0761e-09	1.5447e-08	4.3736e-08	1.4483e-07	5.73306e-07
0.015	3.3098e-09	5.6513e-09	1.5242e-08	4.2414e-08	1.38872e-07	5.5121e-07
0.02	3.0837e-09	5.2286e-09	1.4849e-08	4.0879e-08	1.32418e-07	5.25766e-07
0.025	2.8786e-09	4.9621e-09	1.42046e-08	3.9383e-08	1.26244e-07	5.00368e-07
0.03	2.7196e-09	4.7564e-09	1.33616e-08	3.7997e-08	1.2054e-07	4.7676e-07
0.035	2.6402e-09	4.471e-09	1.25689e-08	3.6615e-08	1.15714e-07	4.548e-07
0.04	2.6817e-09	4.1941e-09	1.19076e-08	3.5257e-08	1.1146e-07	4.33898e-07
0.045	2.7183e-09	4.0461e-09	1.13058e-08	3.3943e-08	1.06888e-07	4.1355e-07
0.05	2.7427e-09	4.0168e-09	1.09095e-08	3.2584e-08	1.02306e-07	3.94176e-07
0.055	2.8004e-09	4.0023e-09	1.07318e-08	3.1199e-08	9.8158e-08	3.76698e-07
0.06	2.6613e-09	3.9947e-09	1.04401e-08	2.9915e-08	9.3842e-08	3.60254e-07
0.065	2.3241e-09	4.0149e-09	1.00534e-08	2.8768e-08	8.938e-08	3.43624e-07
0.07	2.1331e-09	3.9375e-09	9.8142e-09	2.7704e-08	8.5464e-08	3.2785e-07
0.075	2.0383e-09	3.7537e-09	9.6106e-09	2.6742e-08	8.2045e-08	3.129e-07
0.08	1.8671e-09	3.5887e-09	9.2701e-09	2.5921e-08	7.8619e-08	2.97516e-07
0.085	1.8887e-09	3.4996e-09	8.85e-09	2.5235e-08	7.5617e-08	2.82674e-07
0.09	2.1001e-09	3.4635e-09	8.3726e-09	2.4505e-08	7.3275e-08	2.69434e-07
0.095	2.23e-09	3.4791e-09	7.7601e-09	2.369e-08	7.1088e-08	2.57222e-07
0.1	2.3552e-09	3.5464e-09	7.1912e-09	2.2884e-08	6.8636e-08	2.45972e-07
0.105	2.5428e-09	3.6098e-09	6.9048e-09	2.1998e-08	6.5927e-08	2.35314e-07
0.11	2.5929e-09	3.6158e-09	6.8023e-09	2.1068e-08	6.3346e-08	2.24516e-07
0.115	2.4937e-09	3.5645e-09	6.7535e-09	2.027e-08	6.0933e-08	2.14448e-07
0.12	2.354e-09	3.4818e-09	6.7087e-09	1.9588e-08	5.841e-08	2.05038e-07
0.125	2.228e-09	3.3887e-09	6.6362e-09	1.8981e-08	5.6071e-08	1.95594e-07
0.13	2.1754e-09	3.3493e-09	6.5287e-09	1.8444e-08	5.4177e-08	1.86866e-07
0.135	2.2293e-09	3.3552e-09	6.3522e-09	1.7847e-08	5.2215e-08	1.7908e-07
0.14	2.3791e-09	3.3818e-09	6.1478e-09	1.7221e-08	5.0241e-08	1.71446e-07
0.145	2.5267e-09	3.439e-09	6.0107e-09	1.6668e-08	4.8486e-08	1.63716e-07
0.15	2.5924e-09	3.4964e-09	5.8903e-09	1.61527e-08	4.6824e-08	1.564e-07
0.155	2.661e-09	3.5143e-09	5.6562e-09	1.57042e-08	4.5225e-08	1.49436e-07
0.16	2.8716e-09	3.4689e-09	5.4387e-09	1.5313e-08	4.3792e-08	1.4296e-07
0.165	3.0793e-09	3.3598e-09	5.4002e-09	1.49035e-08	4.2542e-08	1.36972e-07
0.17	3.1218e-09	3.2031e-09	5.4172e-09	1.4455e-08	4.1193e-08	1.31128e-07
0.175	3.1093e-09	3.0907e-09	5.3828e-09	1.39057e-08	3.966e-08	1.25758e-07
0.18	3.1071e-09	3.0723e-09	5.3496e-09	1.33996e-08	3.8203e-08	1.208e-07
0.185	3.018e-09	3.0825e-09	5.3669e-09	1.29781e-08	3.6842e-08	1.15726e-07
0.19	3.0021e-09	3.1981e-09	5.3357e-09	1.24405e-08	3.5391e-08	1.10886e-07
0.195	3.1968e-09	3.4204e-09	5.2053e-09	1.1879e-08	3.4072e-08	1.06718e-07
0.2	3.3172e-09	3.5194e-09	5.1306e-09	1.14528e-08	3.3011e-08	1.02596e-07
0.205	3.3092e-09	3.5726e-09	5.1654e-09	1.11022e-08	3.1974e-08	9.8057e-08
0.21	3.389e-09	3.713e-09	5.2216e-09	1.08147e-08	3.0988e-08	9.3527e-08
0.215	3.5026e-09	3.7223e-09	5.2557e-09	1.0479e-08	3.0243e-08	8.965e-08
0.22	3.6196e-09	3.6385e-09	5.3193e-09	9.9933e-09	2.9514e-08	8.6218e-08
0.225	3.839e-09	3.6472e-09	5.3871e-09	9.6165e-09	2.8696e-08	8.2951e-08
0.23	4.0019e-09	3.6424e-09	5.4304e-09	9.3165e-09	2.7857e-08	8.0309e-08
0.235	4.0357e-09	3.6435e-09	5.4706e-09	8.9597e-09	2.6867e-08	7.8036e-08
0.24	4.085e-09	3.7677e-09	5.5055e-09	8.7904e-09	2.5776e-08	7.5395e-08
0.245	4.2062e-09	3.9173e-09	5.5508e-09	8.8023e-09	2.4731e-08	7.2738e-08
0.25	4.3549e-09	4.0188e-09	5.5351e-09	8.762e-09	2.3798e-08	6.9993e-08
0.255	4.4595e-09	4.1275e-09	5.4639e-09	8.7243e-09	2.303e-08	6.6965e-08
0.26	4.5108e-09	4.2613e-09	5.3974e-09	8.7414e-09	2.2473e-08	6.4256e-08
0.265	4.5888e-09	4.3594e-09	5.3968e-09	8.7548e-09	2.20875e-08	6.1893e-08
0.27	4.6634e-09	4.3693e-09	5.4816e-09	8.7145e-09	2.17592e-08	5.9382e-08
0.275	4.734e-09	4.3381e-09	5.5892e-09	8.5227e-09	2.13326e-08	5.6885e-08
0.28	4.9411e-09	4.3299e-09	5.7437e-09	8.1802e-09	2.07605e-08	5.5095e-08
0.285	5.2637e-09	4.3608e-09	5.9576e-09	7.9109e-09	2.01191e-08	5.3621e-08
0.29	5.5679e-09	4.4324e-09	6.0946e-09	7.8561e-09	1.94525e-08	5.1922e-08
0.295	5.7608e-09	4.6435e-09	6.0945e-09	7.8475e-09	1.88113e-08	5.0356e-08
0.3	5.9006e-09	5.0334e-09	6.0495e-09	7.8057e-09	1.82567e-08	4.9083e-08
0.305	6.0548e-09	5.3816e-09	5.8975e-09	7.8519e-09	1.78896e-08	4.7421e-08
0.31	6.0536e-09	5.588e-09	5.6742e-09	7.9897e-09	1.76438e-08	4.5386e-08
0.315	5.8994e-09	5.7489e-09	5.5923e-09	8.0722e-09	1.73277e-08	4.3641e-08
0.32	5.9827e-09	5.8011e-09	5.6594e-09	8.1052e-09	1.69757e-08	4.2194e-08
0.325	6.232e-09	5.6407e-09	5.8108e-09	8.1829e-09	1.66349e-08	4.0995e-08
0.33	6.3233e-09	5.4833e-09	6.1779e-09	8.1979e-09	1.62647e-08	4.0039e-08
0.335	6.4239e-09	5.5584e-09	6.567e-09	8.0682e-09	1.58166e-08	3.9037e-08
0.34	6.64e-09	5.7309e-09	6.1623e-09	7.8462e-09	1.53102e-08	3.8382e-08
0.345	6.858e-09	6.0095e-09	5.2354e-09	7.6211e-09	1.47709e-08	3.83e-08
0.35	7.062e-09	6.4141e-09	4.9105e-09	7.5227e-09	1.43016e-08	3.7793e-08
0.355	7.299e-09	6.5656e-09	4.7404e-09	7.5081e-09	1.39735e-08	3.6771e-08
0.36	7.593e-09	6.411e-09	4.3335e-09	7.632e-09	1.37591e-08	3.5786e-08
0.365	7.848e-09	6.3e-09	4.753e-09	8.0336e-09	1.36843e-08	3.4414e-08
0.37	7.877e-09	6.196e-09	5.865e-09	8.4491e-09	1.3624e-08	3.2567e-08
0.375	7.841e-09	6.105e-09	6.43e-09	8.5433e-09	1.3549e-08	3.1094e-08
0.38	7.906e-09	6.274e-09	6.727e-09	8.5231e-09	1.35013e-08	3.01761e-08
0.385	7.793e-09	6.723e-09	7.371e-09	8.6203e-09	1.3345e-08	2.94662e-08
0.39	7.673e-09	7.36e-09	7.826e-09	8.5787e-09	1.30183e-08	2.88134e-08
0.395	7.918e-09	7.967e-09	7.824e-09	8.536e-09	1.27977e-08	2.82543e-08
0.4	8.205e-09	8.289e-09	7.832e-09	8.77e-09	1.26558e-08	2.76854e-08
0.405	7.698e-09	8.45e-09	7.894e-09	8.963e-09	1.23474e-08	2.68502e-08
0.41	6.737e-09	9.11e-09	7.721e-09	8.999e-09	1.22144e-08	2.6055e-08
0.415	6.487e-09	1.0115e-08	7.649e-09	9.061e-09	1.23515e-08	2.54706e-08
0.42	6.432e-09	1.0607e-08	7.9e-09	9.144e-09	1.22772e-08	2.47336e-08
0.425	6.28e-09	1.0763e-08	8.041e-09	9.233e-09	1.20374e-08	2.40564e-08
0.43	7.215e-09	1.1e-08	8.031e-09	9.242e-09	1.2086e-08	2.37471e-08
0.435	8.79e-09	1.0629e-08	8.209e-09	9.074e-09	1.2136e-08	2.26985e-08
0.44	9.367e-09	9.703e-09	8.658e-09	9.046e-09	1.1969e-08	2.09396e-08
0.445	9.463e-09	9.512e-09	9.117e-09	9.355e-09	1.1992e-08	2.01348e-08
0.45	9.626e-09	9.946e-09	9.333e-09	9.691e-09	1.209e-08	1.9932e-08
0.455	9.448e-09	1.0324e-08	9.675e-09	9.919e-09	1.2103e-08	1.94826e-08
0.46	9.468e-09	9.761e-09	9.956e-09	1.0129e-08	1.2129e-08	1.97167e-08
0.465	9.744e-09	8.116e-09	9.719e-09	1.0406e-08	1.2001e-08	2.05259e-08
0.47	1.0093e-08	7.215e-09	9.507e-09	1.0481e-08	1.201e-08	2.05435e-08
0.475	1.0571e-08	7.336e-09	9.635e-09	1.023e-08	1.2443e-08	2.00301e-08
0.48	1.0997e-08	7.393e-09	9.764e-09	1.0138e-08	1.2794e-08	1.9438e-08
0.485	1.1479e-08	8.472e-09	1.005e-08	1.0311e-08	1.2892e-08	1.88986e-08
0.49	1.2094e-08	1.0796e-08	1.0489e-08	1.0438e-08	1.3065e-08	1.87075e-08
0.495	1.2367e-08	1.1778e-08	1.0795e-08	1.0481e-08	1.316e-08	1.85818e-08
0.5	1.244e-08	1.1757e-08	1.1154e-08	1.069e-08	1.3028e-08	1.86901e-08
0.505	1.2474e-08	1.2219e-08	1.1449e-08	1.1152e-08	1.2824e-08	1.9116e-08
0.51	1.2187e-08	1.2096e-08	1.1449e-08	1.1449e-08	1.2601e-08	1.9033e-08
0.515	1.1987e-08	1.1531e-08	1.1455e-08	1.1204e-08	1.2837e-08	1.8506e-08
0.52	1.1772e-08	1.1498e-08	1.2072e-08	1.1106e-08	1.3463e-08	1.816e-08
0.525	1.1396e-08	1.1721e-08	1.2564e-08	1.1489e-08	1.3645e-08	1.7534e-08
0.53	1.1769e-08	1.1698e-08	1.2e-08	1.1591e-08	1.3452e-08	1.6953e-08
0.535	1.2609e-08	1.2091e-08	1.1697e-08	1.1564e-08	1.3727e-08	1.7114e-08
0.54	1.2656e-08	1.3155e-08	1.249e-08	1.1984e-08	1.4357e-08	1.7336e-08
0.545	1.2881e-08	1.3396e-08	1.2719e-08	1.2228e-08	1.4524e-08	1.7147e-08
0.55	1.4216e-08	1.3114e-08	1.2568e-08	1.2479e-08	1.4592e-08	1.7366e-08
0.555	1.4571e-08	1.3518e-08	1.3988e-08	1.3422e-08	1.4791e-08	1.7923e-08
0.56	1.3783e-08	1.3918e-08	1.5117e-08	1.3992e-08	1.4961e-08	1.7902e-08
0.565	1.4177e-08	1.4225e-08	1.4221e-08	1.3745e-08	1.4921e-08	1.8567e-08
0.57	1.4684e-08	1.4849e-08	1.3613e-08	1.3633e-08	1.4854e-08	1.9607e-08
0.575	1.4752e-08	1.4749e-08	1.429e-08	1.3674e-08	1.5022e-08	1.8629e-08
0.58	1.6404e-08	1.3788e-08	1.4294e-08	1.3597e-08	1.5603e-08	1.7204e-08
0.585	1.7941e-08	1.2916e-08	1.359e-08	1.372e-08	1.6114e-08	1.7652e-08
0.59	1.804e-08	1.2293e-08	1.4392e-08	1.41e-08	1.5748e-08	1.7363e-08
0.595	1.8171e-08	1.3007e-08	1.5968e-08	1.4723e-08	1.5445e-08	1.5693e-08
0.6	1.7448e-08	1.4384e-08	1.6091e-08	1.4842e-08	1.5584e-08	1.6067e-08
0.605	1.6059e-08	1.5155e-08	1.5612e-08	1.4918e-08	1.5601e-08	1.7715e-08
0.61	1.6168e-08	1.6382e-08	1.6373e-08	1.6325e-08	1.5793e-08	1.7934e-08
0.615	1.7192e-08	1.7358e-08	1.6966e-08	1.7191e-08	1.6826e-08	1.7447e-08
0.62	1.793e-08	1.67e-08	1.6518e-08	1.6408e-08	1.7487e-08	1.8201e-08
0.625	1.9145e-08	1.6479e-08	1.6973e-08	1.6542e-08	1.7053e-08	1.9402e-08
0.63	2.052e-08	1.7363e-08	1.7511e-08	1.7195e-08	1.76e-08	1.9594e-08
0.635	2.0669e-08	1.6623e-08	1.7014e-08	1.6048e-08	1.8412e-08	1.9367e-08
0.64	1.9736e-08	1.6029e-08	1.6375e-08	1.5469e-08	1.742e-08	1.9342e-08
0.645	1.9087e-08	1.7793e-08	1.5881e-08	1.7115e-08	1.7016e-08	1.9276e-08
0.65	1.9475e-08	1.874e-08	1.6192e-08	1.7954e-08	1.8198e-08	1.9062e-08
0.655	2.0334e-08	1.822e-08	1.8005e-08	1.733e-08	1.8451e-08	1.8579e-08
0.66	2.0438e-08	1.9963e-08	1.9108e-08	1.8021e-08	1.8286e-08	1.8719e-08
0.665	2.086e-08	2.1466e-08	1.8918e-08	1.9747e-08	1.9209e-08	1.9801e-08
0.67	2.3315e-08	1.9528e-08	1.9463e-08	2.0323e-08	1.9947e-08	2.0461e-08
0.675	2.4237e-08	1.8039e-08	1.9052e-08	2.0688e-08	1.9661e-08	2.0896e-08
0.68	2.1262e-08	1.8622e-08	1.8704e-08	2.1282e-08	1.8744e-08	2.1849e-08
0.685	1.9108e-08	1.8729e-08	2.0305e-08	2.0749e-08	1.8721e-08	2.1598e-08
0.69	2.1159e-08	1.9579e-08	1.9956e-08	1.9729e-08	2.0804e-08	2.0413e-08
0.695	2.2726e-08	2.2349e-08	1.8674e-08	1.9861e-08	2.2615e-08	2.1228e-08
0.7	2.1355e-08	2.2797e-08	2.069e-08	2.025e-08	2.2934e-08	2.2398e-08
0.705	2.1991e-08	2.1651e-08	2.2563e-08	2.0962e-08	2.3058e-08	2.2264e-08
0.71	2.5665e-08	2.1635e-08	2.28e-08	2.3247e-08	2.3573e-08	2.3204e-08
0.715	2.684e-08	2.1214e-08	2.3884e-08	2.4956e-08	2.3498e-08	2.498e-08
0.72	2.4364e-08	2.2801e-08	2.3514e-08	2.3959e-08	2.2169e-08	2.4566e-08
0.725	2.3608e-08	2.7318e-08	2.1746e-08	2.2003e-08	2.3023e-08	2.2348e-08
0.73	2.6281e-08	2.8345e-08	1.9845e-08	2.1077e-08	2.5691e-08	2.1962e-08
0.735	2.9543e-08	2.5294e-08	1.8327e-08	2.0622e-08	2.6077e-08	2.3636e-08
0.74	3.0577e-08	2.4236e-08	1.9984e-08	2.0699e-08	2.4338e-08	2.409e-08
0.745	3.0339e-08	2.416e-08	2.28e-08	2.1177e-08	2.3407e-08	2.4304e-08
0.75	3.2842e-08	2.185e-08	2.3278e-08	2.3852e-08	2.2899e-08	2.6199e-08
0.755	3.5558e-08	2.2681e-08	2.3076e-08	2.8432e-08	2.2252e-08	2.5948e-08
0.76	3.2606e-08	2.8093e-08	2.3898e-08	2.831e-08	2.258e-08	2.2735e-08
0.765	2.8226e-08	3.1047e-08	2.4496e-08	2.5405e-08	2.4746e-08	2.3027e-08
0.77	2.7681e-08	2.8586e-08	2.464e-08	2.7454e-08	2.8001e-08	2.511e-08
0.775	2.7871e-08	2.5473e-08	2.633e-08	2.9194e-08	2.8143e-08	2.4193e-08
0.78	2.8474e-08	2.4477e-08	2.9146e-08	2.4698e-08	2.7788e-08	2.5333e-08
0.785	3.2178e-08	2.2929e-08	2.7808e-08	2.3064e-08	2.923e-08	2.935e-08
0.79	3.5535e-08	2.1744e-08	2.463e-08	2.6386e-08	2.7849e-08	2.9441e-08
0.795	3.5237e-08	2.6257e-08	2.5029e-08	2.5611e-08	2.4275e-08	2.7949e-08
0.8	3.5467e-08	3.3483e-08	2.4445e-08	2.4766e-08	2.4256e-08	2.9433e-08
0.805	3.6577e-08	3.6336e-08	2.2915e-08	2.7579e-08	2.7728e-08	2.9117e-08
0.81	3.2089e-08	3.8355e-08	2.6622e-08	2.8718e-08	3.1233e-08	2.6378e-08
0.815	2.7534e-08	3.9736e-08	3.3119e-08	2.8662e-08	3.2414e-08	2.6239e-08
0.82	3.0345e-08	3.5578e-08	3.5953e-08	2.9422e-08	3.3188e-08	2.9129e-08
0.825	3.4712e-08	3.0962e-08	3.4242e-08	2.931e-08	3.512e-08	3.0418e-08
0.83	3.4761e-08	2.9161e-08	3.2733e-08	2.8021e-08	3.3057e-08	2.9993e-08
0.835	3.5144e-08	2.6221e-08	3.299e-08	2.7696e-08	2.8933e-08	3.3322e-08
0.84	3.9237e-08	2.6218e-08	2.9849e-08	2.8576e-08	2.8917e-08	3.63e-08
0.845	4.3108e-08	3.1611e-08	2.55e-08	3.0854e-08	3.0102e-08	3.1832e-08
0.85	3.9966e-08	3.8394e-08	2.5779e-08	3.3842e-08	2.9993e-08	2.8791e-08
0.855	3.2657e-08	4.3876e-08	3.0354e-08	3.3979e-08	2.759e-08	3.0899e-08
0.86	3.5862e-08	4.3641e-08	3.3649e-08	3.2609e-08	2.2948e-08	2.8674e-08
0.865	4.2837e-08	3.8055e-08	3.2502e-08	3.2055e-08	2.3878e-08	2.6502e-08
0.87	4.0716e-08	3.6177e-08	3.4889e-08	3.2292e-08	2.8376e-08	3.0339e-08
0.875	4.0796e-08	3.8017e-08	4.0027e-08	3.2312e-08	2.6906e-08	3.166e-08
0.88	4.9771e-08	3.644e-08	3.78e-08	3.2375e-08	2.6319e-08	3.043e-08
0.885	5.3754e-08	3.6512e-08	3.4279e-08	3.448e-08	3.1355e-08	3.3612e-08
0.89	5.204e-08	3.9138e-08	3.8228e-08	3.6124e-08	3.2665e-08	3.7984e-08
