Dispositivi	SDLM grado 2	SDLM grado 4	SDLM grado 6	SDLM grado 8	TCM grado 2	TCM grado 4	TCM grado 6	TCM grado 8
P1-100-30	336.0	332.2	329.7	325.1	437.3	439.9	439.0	439.4
P1-100-60	428.8	423.0	416.8	419.1	478.4	479.7	479.7	478.9
P1-200-180	469.5	462.7	461.9	461.1	511.3	512.0	511.3	511.4
P1-200-30	310.3	306.5	304.4	302.7	408.0	411.0	410.2	408.9
P1-200-60	420.6	412.9	413.0	412.9	462.2	464.3	463.8	464.0
P1-600-180	462.0	455.1	450.9	450.3	490.4	492.8	492.0	491.5
P1-600-30	303.8	299.5	299.9	306.4	393.4	397.2	394.5	395.8
P1-600-60	408.1	403.1	402.0	401.1	442.4	446.3	445.6	445.7
