Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.122962	0.3218	0.3695
20	0.145286	0.3262	0.369
30	0.16469	0.3306	0.3703
40	0.184287	0.3349	0.3716
50	0.20249	0.339	0.3732
60	0.220934	0.343	0.3742
70	0.236706	0.3457	0.3749
80	0.250166	0.3474	0.3746
90	0.263288	0.351	0.3739
100	0.276335	0.3546	0.3739
150	0.35136	0.3818	0.3781
300	0.394485	0.3988	0.3662
450	0.394189	0.3942	0.3605
600	0.390857	0.3893	0.3558
750	0.3873	0.3842	0.3513
900	0.38374	0.3795	0.347
