Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.179389	0.3147	0.2675
20	0.192528	0.3177	0.2591
30	0.206481	0.3171	0.2551
40	0.220326	0.3079	0.2419
50	0.232533	0.3231	0.254
60	0.244677	0.3177	0.2587
70	0.25579	0.3205	0.2453
80	0.266231	0.3146	0.2407
90	0.277415	0.3129	0.2701
100	0.286127	0.3237	0.2462
150	0.319333	0.3066	0.264
300	0.355834	0.3323	0.2727
450	0.351961	0.3447	0.2556
600	0.341474	0.3168	0.2352
750	0.330441	0.3171	0.2669
900	0.316991	0.3429	0.2622
