Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.358158	0.3892	0.3667
20	0.366785	0.3886	0.3733
30	0.374037	0.388	0.3721
40	0.380678	0.3874	0.3949
50	0.386836	0.3909	0.376
60	0.392785	0.3903	0.3769
70	0.398098	0.3894	0.3874
80	0.403201	0.3927	0.379
90	0.407747	0.3877	0.3837
100	0.412073	0.391	0.368
150	0.428082	0.3981	0.3843
300	0.44063	0.3919	0.3885
450	0.43892	0.4111	0.3919
600	0.436207	0.397	0.3837
750	0.433375	0.4064	0.3739
900	0.43034	0.4036	0.3815
