Vds	Gds_Vgs=0.15V	Gds_Vgs=0.30V	Gds_Vgs=0.45V	Gds_Vgs=0.60V	Gds_Vgs=0.75V	Gds_Vgs=0.90V
0	1.676658e-05	0.00101956	0.03140254	0.1392602	0.1858496	0.2083162
0.005	1.57761e-05	0.00121469	0.03580852	0.1383084	0.1854804	0.2083196
0.01	1.425954e-05	0.001444555	0.04126756	0.13669	0.1849228	0.2083468
0.015	1.240177e-05	0.001631241	0.0460666	0.1344996	0.1840252	0.208186
0.02	1.031829e-05	0.001600653	0.04679522	0.131727	0.1826596	0.2076586
0.025	8.4534e-06	0.001287857	0.04194716	0.1285308	0.1808984	0.2067228
0.03	6.9804e-06	0.00100298	0.037063	0.125364	0.179168	0.205714
0.035	5.6804e-06	0.00084446	0.034059	0.122294	0.177558	0.204774
0.04	4.6194e-06	0.00070994	0.031209	0.1191	0.175858	0.203876
0.045	3.8906e-06	0.00059462	0.0284962	0.115888	0.174156	0.203412
0.05	3.2334e-06	0.0004981	0.025966	0.112792	0.172622	0.203412
0.055	2.5674e-06	0.00041876	0.02362	0.109632	0.171352	0.203036
0.06	2.0316e-06	0.00035208	0.021418	0.106334	0.170212	0.202116
0.065	1.6298e-06	0.0002951	0.019372	0.10303	0.168724	0.201142
0.07	1.2928e-06	0.00024858	0.017472	0.099702	0.166828	0.199762
0.075	1.0072e-06	0.00021252	0.015716	0.096334	0.164868	0.19791
0.08	8.348e-07	0.00018096	0.014098	0.092932	0.162494	0.19644
0.085	7.41e-07	0.00015296	0.012604	0.089534	0.159628	0.1954
0.09	5.794e-07	0.00012992	0.011238	0.086152	0.15716	0.19434
0.095	3.662e-07	0.00010664	0.010018	0.0831	0.15516	0.1932
0.1	2.636e-07	8.564e-05	0.00894	0.080428	0.1529	0.19186
0.105	2.834e-07	7.386e-05	0.007972	0.07751	0.15048	0.19048
0.11	3.372e-07	6.488e-05	0.007088	0.074256	0.14826	0.18926
0.115	3.412e-07	5.504e-05	0.006286	0.070988	0.14604	0.18798
0.12	3.064e-07	5.058e-05	0.00557	0.06741	0.14364	0.18662
0.125	2.814e-07	4.798e-05	0.004932	0.063544	0.14132	0.18556
0.13	1.654e-07	4.118e-05	0.004366	0.06006	0.13914	0.18452
0.135	2.4e-08	3.546e-05	0.003876	0.05694	0.13684	0.1832
0.14	5.8e-08	3.246e-05	0.003454	0.05396	0.13436	0.18188
0.145	1.62e-07	2.902e-05	0.00309	0.0511	0.13182	0.18054
0.15	1.626e-07	2.66e-05	0.002774	0.04818	0.12926	0.17908
0.155	1.756e-07	2.494e-05	0.002474	0.04526	0.12658	0.17756
0.16	2.294e-07	2.384e-05	0.002184	0.0426	0.12388	0.17598
0.165	1.712e-07	2.5e-05	0.001942	0.04006	0.1212	0.17426
0.17	9.48e-08	2.554e-05	0.001756	0.03754	0.11844	0.1726
0.175	1.42e-07	2.192e-05	0.001584	0.03528	0.11572	0.17102
0.18	1.614e-07	1.75e-05	0.001444	0.03314	0.11312	0.16944
0.185	1.216e-07	1.486e-05	0.001348	0.03088	0.11044	0.16792
0.19	1.386e-07	1.334e-05	0.001254	0.02872	0.10772	0.1664
0.195	1.322e-07	1.332e-05	0.001142	0.02672	0.10502	0.16476
0.2	9.9e-08	1.548e-05	0.001056	0.02474	0.1022	0.16304
0.205	1.058e-07	1.71e-05	0.001018	0.02298	0.09934	0.16126
0.21	1.15e-07	1.576e-05	0.000954	0.02144	0.09648	0.15936
0.215	1.324e-07	1.48e-05	0.000872	0.01986	0.0936	0.15754
0.22	1.596e-07	1.386e-05	0.000828	0.01836	0.09078	0.15582
0.225	1.33e-07	1.128e-05	0.00077	0.017	0.088	0.15396
0.23	1.048e-07	1.174e-05	0.000692	0.0156	0.08506	0.15192
0.235	9.1e-08	1.54e-05	0.000664	0.01432	0.08214	0.14996
0.24	6.16e-08	1.662e-05	0.000662	0.01332	0.07936	0.14798
0.245	5.66e-08	1.608e-05	0.000654	0.01238	0.07652	0.14584
0.25	4.46e-08	1.58e-05	0.00065	0.01142	0.07372	0.14372
0.255	5.46e-08	1.376e-05	0.000634	0.0106	0.07112	0.14172
0.26	1.028e-07	1.102e-05	0.000616	0.00986	0.06856	0.1397
0.265	1.148e-07	1.002e-05	0.000608	0.00906	0.06586	0.13764
0.27	1e-07	1.092e-05	0.00059	0.0083	0.06318	0.13554
0.275	1.098e-07	1.118e-05	0.00057	0.00772	0.06058	0.13336
0.28	9.84e-08	9.02e-06	0.000556	0.0072	0.05794	0.13118
0.285	3.54e-08	7.22e-06	0.000546	0.00668	0.05528	0.12892
0.29	1.44e-08	8.38e-06	0.000536	0.00624	0.05272	0.12664
0.295	4.84e-08	1.132e-05	0.00052	0.00582	0.05026	0.12434
0.3	5.1e-08	1.564e-05	0.000518	0.00542	0.04796	0.12196
0.305	6.38e-08	2.028e-05	0.000524	0.00508	0.04578	0.11958
