disp	5Mrad	50Mrad	100Mrad	200Mrad	600Mrad	1Grad
100/30	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
100/60	0.00000	0.00000	0.00000	0.00000	100.00000	100.00000
100/180	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
200/30	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
200/60	100.00000	0.00000	100.00000	100.00000	100.00000	100.00000
200/180	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
600/30	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
600/60	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
600/180	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
