dispositivo	5Mrad	50Mrad	100Mrad	200Mrad	600Mrad	1Grad
100/30	0.00640000000000002	0.00379999999999997	0.00719999999999998	0.00619999999999998	0.0197	0.0323
100/60	-0.00170000000000003	0.000699999999999978	0.00389999999999996	0.00519999999999998	0.0167	-0.4116
100/180	0	0	0	0	0	0
200/30	-0.00409999999999999	0.00520000000000004	0.00330000000000003	0.00790000000000002	0.0235	-0.2965
200/60	-0.001	0.000400000000000011	0.00240000000000001	0.0081	0.0176	-0.4049
200/180	0.00280000000000002	0.00830000000000003	0.0076	0.0126	0.0244	-0.4493
600/30	0.00329999999999997	0.0076	0.00729999999999997	0.0102	0.0234	-0.2897
600/60	0.00160000000000005	0.00559999999999999	0.005	0.0102	0.0233	-0.3918
600/180	0.002	0.00369999999999998	0.00319999999999998	0.00950000000000001	0.0231	-0.4414
