disp	5Mrad	50Mrad	100Mrad	200Mrad	600Mrad	1Grad
100/30	0.00130	0.00280	0.00500	0.00960	0.02320	0.03000
100/60	0.00030	0.00210	0.00340	0.01040	0.02250	0.03150
100/180	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
200/30	0.00170	0.00380	0.00550	0.01090	0.02300	0.03050
200/60	0.00170	0.00270	0.00510	0.01030	0.02340	0.03230
200/180	0.00180	0.00860	0.01120	0.01600	0.02880	0.04000
600/30	0.00070	0.00290	0.00510	0.00860	0.01960	0.02640
600/60	0.00070	0.00380	0.00420	0.01090	0.02370	0.03310
600/180	0.00090	0.00310	0.00540	0.01140	0.02660	0.03900
