Vds,0Mrad,5Mrad,50Mrad,100Mrad,200Mrad,600Mrad,1000Mrad,3000Mrad,annealingMrad
0.15,0,1.14879649890591,2.8635751556977,-2.22605621949166,-2.15662346406329,-2.83201481232115,-4.28589463053357,-9.33344554788756,-10.5032822757112
0.3,0,0.976464697045568,3.55533299949924,-6.28442663995995,-6.29694541812719,-6.96044066099149,-8.35002503755634,-13.9459188783175,-15.6109163745619
0.45,0,0.36645377447388,3.49701601926499,-9.98848288137368,-9.92566223432102,-10.5748089205319,-11.8521620772694,-17.5164904198513,-19.4429902627997
0.6,0,-0.256334417825101,2.3267277925663,-12.2153209109731,-12.1463077984817,-12.7378487626935,-13.9307897071872,-19.4518387064971,-21.4433599526767
0.75,0,-0.678646530300149,1.00363219269737,-13.67807302619,-13.6016058115083,-14.1559931179507,-15.3030013381763,-20.6557063658956,-22.64385394762
0.9,0,-0.970873786407766,-0.0466766243465254,-14.8431665421957,-14.7498132935026,-15.2912621359223,-16.411501120239,-21.6112770724421,-23.5997012696042
