|Vds|	Gm_|Vgs|=0.15V	Gm_|Vgs|=0.3V	Gm_|Vgs|=0.45V	Gm_|Vgs|=0.6V	Gm_|Vgs|=0.75V	Gm_|Vgs|=0.9V
0.9	1.048e-06	5.79999999999997e-05	0.00232000000000001	0.0063999999999998	0.00440000000000023	0.0172000000000005
0.895	1.06166666666667e-06	6.66000000000001e-05	0.00211333333333334	0.00599999999999987	0.00583333333333349	0.0148000000000003
0.89	1.101e-06	6.78000000000001e-05	0.00195199999999999	0.00579999999999993	0.00670000000000014	0.0130000000000001
0.885	1.1152e-06	7.04200000000001e-05	0.00185599999999999	0.00555999999999997	0.00736000000000007	0.01148
0.88	1.137e-06	7.134e-05	0.00177199999999999	0.00538	0.00789999999999998	0.0104
0.875	1.1482e-06	7.04799999999999e-05	0.001742	0.00542000000000002	0.00801999999999996	0.0100199999999999
0.87	1.134e-06	7.05799999999999e-05	0.001762	0.00540000000000002	0.00801999999999996	0.00991999999999985
0.865	1.1254e-06	7.10399999999998e-05	0.00176200000000001	0.0053	0.00819999999999994	0.00997999999999991
0.86	1.1232e-06	7.10199999999997e-05	0.00173200000000001	0.00538	0.00833999999999994	0.0101599999999999
0.855	1.102e-06	7.106e-05	0.00172400000000001	0.00545999999999999	0.00832	0.0102399999999998
0.85	1.0916e-06	7.00400000000001e-05	0.001714	0.00537999999999996	0.00826000000000005	0.0102599999999999
0.845	1.1004e-06	6.848e-05	0.001684	0.00541999999999996	0.00826000000000005	0.0103200000000001
0.84	1.084e-06	6.76200000000002e-05	0.00168600000000001	0.0056	0.00822000000000006	0.0103800000000001
0.835	1.0666e-06	6.69000000000002e-05	0.00170600000000001	0.00566000000000003	0.00818000000000009	0.0104
0.83	1.0776e-06	6.62000000000001e-05	0.001704	0.00562000000000004	0.00828000000000007	0.0104600000000001
0.825	1.0746e-06	6.66400000000001e-05	0.00171	0.00568000000000005	0.00834000000000002	0.0106400000000001
0.82	1.0528e-06	6.77400000000002e-05	0.00173	0.00572000000000004	0.00828	0.0107400000000001
0.815	1.0506e-06	6.77800000000001e-05	0.001724	0.00556000000000001	0.00829999999999997	0.01066
0.81	1.0554e-06	6.71400000000001e-05	0.001706	0.00547999999999998	0.00839999999999996	0.0106200000000001
0.805	1.035e-06	6.686e-05	0.001706	0.00555999999999997	0.0084	0.0106800000000001
0.8	1.0054e-06	6.628e-05	0.00171600000000001	0.00553999999999998	0.00838000000000001	0.01064
0.795	9.934e-07	6.494e-05	0.00171400000000001	0.0055	0.00845999999999999	0.01056
0.79	9.94199999999999e-07	6.41799999999999e-05	0.001708	0.00558000000000001	0.00849999999999999	0.01066
0.785	9.874e-07	6.44799999999999e-05	0.00169799999999999	0.00562000000000001	0.00845999999999999	0.0107799999999999
0.78	9.85e-07	6.42199999999999e-05	0.00167599999999999	0.00559999999999999	0.00849999999999996	0.01074
0.775	1.0048e-06	6.35199999999999e-05	0.001664	0.00559999999999997	0.00861999999999997	0.01074
0.77	1.0272e-06	6.386e-05	0.00167599999999999	0.00561999999999998	0.00863999999999999	0.01086
0.765	1.037e-06	6.42999999999999e-05	0.001686	0.00567999999999999	0.00859999999999999	0.01088
0.76	1.0266e-06	6.35799999999999e-05	0.00169	0.00570000000000001	0.00862000000000001	0.0109
0.755	1.0046e-06	6.26999999999999e-05	0.001718	0.00564000000000003	0.00863999999999999	0.0110599999999999
0.75	9.86199999999999e-07	6.26799999999999e-05	0.00173599999999999	0.00560000000000003	0.00859999999999995	0.0111199999999999
0.745	9.64599999999998e-07	6.30799999999999e-05	0.00171	0.00559999999999999	0.00854	0.01106
0.74	9.34800000000001e-07	6.27200000000001e-05	0.00168200000000001	0.00561999999999999	0.00858000000000006	0.0111800000000001
0.735	9.21000000000002e-07	6.172e-05	0.00169000000000001	0.00559999999999999	0.00860000000000004	0.01132
0.73	9.276e-07	6.17400000000001e-05	0.00169000000000001	0.00555999999999998	0.00854000000000005	0.0113
0.725	9.20399999999999e-07	6.20200000000001e-05	0.00165	0.00562000000000001	0.00862000000000003	0.0114200000000001
0.72	9.12199999999999e-07	6.11800000000001e-05	0.001634	0.00568000000000003	0.00877999999999998	0.01166
0.715	9.12599999999996e-07	6.064e-05	0.00164999999999999	0.00566	0.00881999999999997	0.0117
0.71	9.06599999999997e-07	6.092e-05	0.00164799999999999	0.00567999999999999	0.00885999999999997	0.01168
0.705	8.99400000000002e-07	6.05800000000001e-05	0.00164	0.00572	0.00895999999999999	0.0117800000000001
0.7	8.92200000000003e-07	6.018e-05	0.001658	0.00568	0.00896000000000002	0.0118
0.695	8.74400000000003e-07	5.996e-05	0.00168800000000001	0.00562000000000001	0.00896000000000005	0.01182
0.69	8.52800000000003e-07	5.94400000000001e-05	0.00169200000000001	0.00558000000000002	0.00906000000000005	0.01198
0.685	8.38800000000002e-07	5.94200000000001e-05	0.00167600000000001	0.0056	0.00906000000000002	0.0121200000000001
0.68	8.27199999999998e-07	5.92599999999998e-05	0.00167	0.00567999999999999	0.00893999999999998	0.0122
0.675	8.25999999999998e-07	5.83799999999999e-05	0.001666	0.00571999999999999	0.00890000000000001	0.01238
0.67	8.21799999999998e-07	5.76999999999999e-05	0.001644	0.00569999999999999	0.00890000000000001	0.01258
0.665	8.14599999999999e-07	5.76999999999999e-05	0.001628	0.00564	0.00887999999999999	0.01258
0.66	8.21e-07	5.784e-05	0.001618	0.00554000000000002	0.00898000000000002	0.01264
0.655	8.19200000000001e-07	5.78e-05	0.001602	0.00552000000000002	0.00918000000000005	0.01288
