vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0.11	1.2012e-07	-3.609e-11	-1.1906e-07	5.888e-07	-5.8954e-07	8.3454e-06	9.989e-11	-8.3181e-06	5.8906e-07	-5.9008e-07	0.00053212	7.4342e-10	-0.00053174	5.8946e-07	-5.9014e-07	0.0077604	3.0342e-09	-0.0077556	5.8994e-07	-5.9082e-07	0.018938	9.0705e-09	-0.018944	5.9168e-07	-5.93e-07	0.02411	2.90802e-08	-0.024108	5.9492e-07	-5.9598e-07	0.026218	1.0312e-07	-0.02621	5.9836e-07	-5.9974e-07
0.115	1.2186e-07	-3.871e-11	-1.2102e-07	5.8884e-07	-5.896e-07	8.4621e-06	9.783e-11	-8.4197e-06	5.8914e-07	-5.9e-07	0.00053874	7.3442e-10	-0.00053844	5.895e-07	-5.9032e-07	0.007913	2.9986e-09	-0.0079112	5.9e-07	-5.9084e-07	0.019624	8.6003e-09	-0.019622	5.9146e-07	-5.9286e-07	0.025138	2.80756e-08	-0.025136	5.9448e-07	-5.9572e-07	0.027386	1.007e-07	-0.027392	5.9814e-07	-5.9938e-07
0.12	1.2354e-07	-4.109e-11	-1.223e-07	5.8858e-07	-5.8984e-07	8.5285e-06	9.609e-11	-8.5517e-06	5.8872e-07	-5.899e-07	0.00054496	7.2671e-10	-0.00054512	5.8942e-07	-5.902e-07	0.0080528	2.9623e-09	-0.008062	5.9006e-07	-5.9106e-07	0.020292	8.4224e-09	-0.020272	5.9162e-07	-5.9286e-07	0.026148	2.74356e-08	-0.02615	5.947e-07	-5.9624e-07	0.02854	9.7945e-08	-0.028532	5.9808e-07	-5.9964e-07
0.125	1.254e-07	-4.341e-11	-1.2402e-07	5.8896e-07	-5.8976e-07	8.6165e-06	9.558e-11	-8.6244e-06	5.8924e-07	-5.9032e-07	0.00055138	7.1926e-10	-0.0005513	5.893e-07	-5.9038e-07	0.0081852	2.7721e-09	-0.0081828	5.9008e-07	-5.911e-07	0.020932	8.243e-09	-0.020934	5.9168e-07	-5.9276e-07	0.027164	2.68654e-08	-0.027162	5.9472e-07	-5.9624e-07	0.0297	9.53146e-08	-0.029698	5.984e-07	-5.9998e-07
0.13	1.268e-07	-4.487e-11	-1.2586e-07	5.8864e-07	-5.8964e-07	8.7074e-06	9.43e-11	-8.7275e-06	5.8928e-07	-5.903e-07	0.00055714	7.1261e-10	-0.00055708	5.8938e-07	-5.9034e-07	0.0083078	2.8934e-09	-0.008308	5.9014e-07	-5.9138e-07	0.02156	8.2679e-09	-0.02156	5.9172e-07	-5.9296e-07	0.028152	2.6225e-08	-0.028154	5.9482e-07	-5.9628e-07	0.03084	9.27716e-08	-0.030842	5.983e-07	-5.9978e-07
0.135	1.2832e-07	-4.903e-11	-1.2706e-07	5.8888e-07	-5.8978e-07	8.8258e-06	9.335e-11	-8.8022e-06	5.8922e-07	-5.9054e-07	0.00056344	7.0771e-10	-0.00056334	5.8934e-07	-5.9026e-07	0.0084268	2.8634e-09	-0.0084278	5.8988e-07	-5.9138e-07	0.022174	7.9594e-09	-0.022172	5.9176e-07	-5.932e-07	0.029152	2.54764e-08	-0.029154	5.9486e-07	-5.9634e-07	0.031996	9.00842e-08	-0.031996	5.979e-07	-5.9964e-07
0.14	1.2968e-07	-5.064e-11	-1.2872e-07	5.8872e-07	-5.899e-07	8.8933e-06	9.116e-11	-8.9043e-06	5.8938e-07	-5.9024e-07	0.00056886	7.0083e-10	-0.00056866	5.8936e-07	-5.9032e-07	0.0085328	2.8321e-09	-0.0085344	5.9016e-07	-5.9114e-07	0.02276	8.1196e-09	-0.022752	5.9166e-07	-5.933e-07	0.03012	2.5009e-08	-0.030122	5.9478e-07	-5.9614e-07	0.033128	8.76856e-08	-0.03313	5.9814e-07	-5.9978e-07
0.145	1.3146e-07	-5.375e-11	-1.3016e-07	5.889e-07	-5.896e-07	9.0015e-06	9.01e-11	-8.9932e-06	5.891e-07	-5.9012e-07	0.00057472	6.9438e-10	-0.00057458	5.8934e-07	-5.9052e-07	0.008638	2.657e-09	-0.0086358	5.8976e-07	-5.9124e-07	0.023336	7.6281e-09	-0.023332	5.9202e-07	-5.9364e-07	0.031102	2.43518e-08	-0.0311	5.947e-07	-5.9642e-07	0.034276	8.55488e-08	-0.034274	5.9816e-07	-5.9978e-07
0.15	1.3262e-07	-5.761e-11	-1.3164e-07	5.89e-07	-5.8988e-07	9.0781e-06	8.85e-11	-9.0899e-06	5.8904e-07	-5.9026e-07	0.00058022	6.8924e-10	-0.00057974	5.897e-07	-5.905e-07	0.008733	2.7738e-09	-0.0087302	5.8982e-07	-5.9142e-07	0.023878	7.8214e-09	-0.023878	5.9192e-07	-5.9344e-07	0.032062	2.37834e-08	-0.032056	5.9486e-07	-5.968e-07	0.035402	8.34332e-08	-0.035398	5.9822e-07	-5.9992e-07
0.155	1.3436e-07	-6.062e-11	-1.3292e-07	5.8872e-07	-5.896e-07	9.1791e-06	8.876e-11	-9.1666e-06	5.893e-07	-5.9038e-07	0.00058554	6.8272e-10	-0.0005856	5.893e-07	-5.9094e-07	0.008823	2.605e-09	-0.0088218	5.9028e-07	-5.9114e-07	0.024428	7.3446e-09	-0.024424	5.9198e-07	-5.9364e-07	0.033016	2.31388e-08	-0.03302	5.949e-07	-5.9662e-07	0.036534	8.11978e-08	-0.036536	5.9806e-07	-6.0006e-07
0.16	1.3582e-07	-6.287e-11	-1.348e-07	5.889e-07	-5.9024e-07	9.249e-06	8.651e-11	-9.2523e-06	5.8912e-07	-5.903e-07	0.00059104	6.7892e-10	-0.0005905	5.8942e-07	-5.9024e-07	0.008909	2.7339e-09	-0.0089056	5.9024e-07	-5.9142e-07	0.024936	7.2716e-09	-0.024934	5.9214e-07	-5.9366e-07	0.03395	2.27844e-08	-0.033948	5.9526e-07	-5.9676e-07	0.03765	7.90904e-08	-0.037652	5.9832e-07	-6.0038e-07
0.165	1.3712e-07	-6.676e-11	-1.3596e-07	5.8852e-07	-5.8994e-07	9.3454e-06	8.649e-11	-9.3349e-06	5.8954e-07	-5.9032e-07	0.0005958	6.736e-10	-0.00059608	5.8918e-07	-5.9028e-07	0.0089876	2.7117e-09	-0.0089864	5.8998e-07	-5.9134e-07	0.025426	7.0817e-09	-0.025424	5.9238e-07	-5.9396e-07	0.034868	2.21632e-08	-0.034874	5.953e-07	-5.9678e-07	0.038764	7.71342e-08	-0.038762	5.983e-07	-5.9996e-07
0.17	1.3854e-07	-6.991e-11	-1.3738e-07	5.8872e-07	-5.9008e-07	9.4381e-06	8.467e-11	-9.417e-06	5.8914e-07	-5.903e-07	0.00060142	6.7097e-10	-0.00060112	5.8898e-07	-5.9048e-07	0.0090658	2.6914e-09	-0.0090632	5.8984e-07	-5.9168e-07	0.025908	6.9589e-09	-0.025904	5.9234e-07	-5.9386e-07	0.0358	2.15856e-08	-0.035806	5.9542e-07	-5.9698e-07	0.039884	7.50304e-08	-0.039886	5.9846e-07	-6.0028e-07
0.175	1.4006e-07	-7.359e-11	-1.3874e-07	5.8876e-07	-5.8998e-07	9.5019e-06	8.292e-11	-9.5016e-06	5.891e-07	-5.9038e-07	0.00060614	6.6807e-10	-0.0006063	5.8914e-07	-5.9046e-07	0.009136	2.6691e-09	-0.0091342	5.9018e-07	-5.917e-07	0.026366	6.9099e-09	-0.026366	5.9274e-07	-5.9414e-07	0.036708	2.12448e-08	-0.036706	5.9538e-07	-5.9718e-07	0.040988	7.2975e-08	-0.040986	5.984e-07	-6.002e-07
0.18	1.4174e-07	-7.672e-11	-1.401e-07	5.8908e-07	-5.9008e-07	9.5943e-06	8.176e-11	-9.5896e-06	5.8962e-07	-5.9046e-07	0.00061118	6.6122e-10	-0.00061166	5.891e-07	-5.9054e-07	0.0092078	2.65e-09	-0.009206	5.9046e-07	-5.9196e-07	0.02681	6.927e-09	-0.026818	5.9276e-07	-5.9428e-07	0.037604	2.08118e-08	-0.037612	5.9566e-07	-5.9734e-07	0.042098	7.09952e-08	-0.042092	5.9864e-07	-6.0062e-07
0.185	1.4284e-07	-8.069e-11	-1.4172e-07	5.8914e-07	-5.9036e-07	9.6573e-06	8.044e-11	-9.6731e-06	5.894e-07	-5.9036e-07	0.00061614	6.59e-10	-0.00061646	5.8934e-07	-5.9078e-07	0.0092796	2.4861e-09	-0.0092736	5.9042e-07	-5.9174e-07	0.027234	6.726e-09	-0.027248	5.9288e-07	-5.9442e-07	0.038488	2.02822e-08	-0.038488	5.9578e-07	-5.9754e-07	0.043182	6.94456e-08	-0.04319	5.987e-07	-6.0084e-07
0.19	1.4472e-07	-8.466e-11	-1.4288e-07	5.888e-07	-5.902e-07	9.7725e-06	7.961e-11	-9.7599e-06	5.8912e-07	-5.9032e-07	0.0006213	6.5421e-10	-0.00062126	5.8928e-07	-5.9042e-07	0.009338	2.5206e-09	-0.0093352	5.9056e-07	-5.9192e-07	0.027638	6.6832e-09	-0.027642	5.9308e-07	-5.9474e-07	0.039374	1.97784e-08	-0.039374	5.9616e-07	-5.9766e-07	0.044286	6.75764e-08	-0.044292	5.9888e-07	-6.0058e-07
0.195	1.4562e-07	-8.914e-11	-1.4494e-07	5.8894e-07	-5.9042e-07	9.8467e-06	7.831e-11	-9.8389e-06	5.8918e-07	-5.904e-07	0.000626	6.513e-10	-0.0006263	5.8928e-07	-5.907e-07	0.0094	2.594e-09	-0.0093976	5.9074e-07	-5.922e-07	0.028032	6.4091e-09	-0.028024	5.932e-07	-5.9492e-07	0.04023	1.9472e-08	-0.040232	5.9616e-07	-5.979e-07	0.045372	6.57796e-08	-0.045364	5.9862e-07	-6.0062e-07
0.2	1.4758e-07	-9.235e-11	-1.4632e-07	5.889e-07	-5.9e-07	9.9254e-06	7.673e-11	-9.9191e-06	5.8926e-07	-5.9072e-07	0.0006315	6.4787e-10	-0.0006313	5.894e-07	-5.9074e-07	0.0094598	2.4342e-09	-0.0094588	5.9066e-07	-5.9214e-07	0.0284	6.3133e-09	-0.028394	5.9318e-07	-5.949e-07	0.04109	1.89466e-08	-0.04109	5.9638e-07	-5.9802e-07	0.046468	6.42392e-08	-0.046462	5.9924e-07	-6.0086e-07
0.205	1.4912e-07	-9.773e-11	-1.4744e-07	5.891e-07	-5.903e-07	1.00057e-05	7.561e-11	-1.00035e-05	5.8918e-07	-5.904e-07	0.00063616	6.4463e-10	-0.00063646	5.8938e-07	-5.9074e-07	0.0095178	2.4524e-09	-0.0095152	5.9036e-07	-5.9226e-07	0.028754	6.219e-09	-0.028754	5.9332e-07	-5.9482e-07	0.041916	1.85658e-08	-0.041924	5.9626e-07	-5.9824e-07	0.047536	6.27292e-08	-0.047528	5.9938e-07	-6.0112e-07
0.21	1.502e-07	-1.0213e-10	-1.4914e-07	5.8912e-07	-5.9044e-07	1.0071e-05	7.302e-11	-1.00821e-05	5.8926e-07	-5.9046e-07	0.00064112	6.4171e-10	-0.00064184	5.8958e-07	-5.911e-07	0.009572	2.4056e-09	-0.0095728	5.9062e-07	-5.9208e-07	0.029094	6.1302e-09	-0.02908	5.9346e-07	-5.9536e-07	0.042742	1.80956e-08	-0.042746	5.9678e-07	-5.9874e-07	0.048594	6.1062e-08	-0.048596	5.9952e-07	-6.014e-07
0.215	1.52e-07	-1.0617e-10	-1.5022e-07	5.8894e-07	-5.9008e-07	1.01903e-05	7.244e-11	-1.01762e-05	5.8922e-07	-5.9054e-07	0.00064648	6.403e-10	-0.00064622	5.897e-07	-5.9134e-07	0.0096258	2.532e-09	-0.0096298	5.9074e-07	-5.9274e-07	0.029422	6.3604e-09	-0.029422	5.9348e-07	-5.9538e-07	0.043562	1.77354e-08	-0.043566	5.9712e-07	-5.9872e-07	0.049668	5.95654e-08	-0.049668	5.9954e-07	-6.0136e-07
