disp	5Mrad	50Mrad	100Mrad	200Mrad	600Mrad
100/30	-0.00065	-0.00556	0.00941	0.00601	0.00171
100/60	-0.00387	-0.01278	0.01259	0.01004	0.00919
100/180	-0.00158	-0.00983	0.01164	0.01255	0.01199
200/30	0.00019	-0.00645	0.00636	0.00666	0.00391
200/60	-0.00148	-0.00969	0.00995	0.00884	0.00774
200/180	-0.00341	-0.01281	0.01607	0.01337	0.01500
600/30	0.00000	0.00000	0.00000	0.00000	0.00000
600/60	0.00043	-0.00994	0.01150	0.01104	0.00907
600/180	0.00033	-0.01302	0.00760	0.00723	0.00668
