disp	5Mrad	50Mrad	100Mrad	200Mrad	600Mrad	1Grad	3Grad	annealing
100/30	-2.51380	-12.15620	9.39790	7.38590	2.08730	-2.40000	-4.80000	-0.90000
100/60	-3.49390	-15.71770	14.99800	13.16460	10.01530	7.20000	10.80000	15.60000
100/180	-4.26440	-16.47890	16.59720	15.80650	16.35510	16.00000	27.00000	34.90000
200/30	-2.32210	-12.30480	9.08470	7.82120	4.43660	1.80000	3.20000	7.60000
200/60	-3.50980	-16.51000	13.67370	12.21230	10.50160	8.70000	14.70000	20.20000
200/180	-4.83390	-16.54420	16.45590	16.35000	19.03620	19.80000	34.90000	43.20000
600/30	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
600/60	-2.14720	-12.62810	11.87070	12.05850	8.84160	7.40000	10.60000	16.70000
600/180	-4.27720	-19.42820	8.81270	8.26640	8.99640	8.60000	19.50000	29.00000
