Dispositivi,0Mrad,5Mrad,50Mrad,100Mrad,200Mrad,600Mrad,1000Mrad,3000Mrad,annealing
100-30,0,-0.426344539681125,-1.58102766798418,-2.36265932406625,-3.3619043389439,-8.00728338588621,-10.4321179553226,-22.0544477505884,-13.7185237820313
100-60,0,-0.368961143779555,-1.64303009339329,-2.58849302432838,-3.78761674161191,-9.21826357661709,-12.9194050501557,-28.5541335178139,-18.7017179753257
100-180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200-30,0,-0.160368848351206,-1.06578463800073,-1.64378069559988,-1.93779025091043,-5.48261000300692,-7.14643680465069,-16.4946042564565,-10.0798503224082
200-60,0,-0.201720331887027,-1.36636979523483,-2.16563903478724,-2.93445992235669,-7.7491055796605,-10.7368501179874,-24.1721854304636,-14.6722996117835
200-180,0,-0.163666121112923,-3.38788870703764,-4.26350245499182,-5.62193126022913,-11.8003273322422,-16.1783960720131,-36.9721767594108,-26.3175122749591
600-30,0,-0.3401132219015,-1.31346356089594,-1.98026448278178,-3.03864312725157,-7.32585979279944,-9.49184399543533,-21.4741223065047,-13.2286142623795
600-60,0,-0.181013676588897,-0.985518905872883,-1.89058728881738,-2.38938053097345,-7.03338696701529,-9.38455349959775,-22.6186645213194,-14.5394207562349
600-180,0,-0.233789954337905,-1.48310502283105,-2.47671232876713,-3.87214611872146,-10.6593607305936,-15.1415525114155,-36.6977168949772,-23.0173515981735
