Dispositivi	SDLM grado 2	SDLM grado 4	SDLM grado 6	SDLM grado 8	TCM grado 2	TCM grado 4	TCM grado 6	TCM grado 8
N4-100-180	379.6	377.0	369.4	356.7	477.0	475.7	476.0	476.6
N4-100-30	272.2	267.0	279.7	276.8	370.3	371.6	371.3	372.2
N4-100-60	327.8	322.4	315.1	323.2	403.6	404.9	405.0	403.9
N4-200-180	380.2	375.1	371.8	367.5	466.6	467.2	466.4	467.1
N4-200-30	266.1	261.4	264.7	269.3	357.1	360.6	359.5	358.6
N4-200-60	332.4	316.9	326.0	334.7	398.4	400.4	402.2	404.9
N4-600-180	389.5	379.3	384.8	384.8	447.8	449.7	449.6	446.3
N4-600-60	310.1	306.2	305.1	300.8	366.9	371.5	370.2	372.7
