Dispositivi	SDLM grado 2	SDLM grado 4	SDLM grado 6	SDLM grado 8	TCM grado 2	TCM grado 4	TCM grado 6	TCM grado 8
P1-100-30	332	322.3	323.5	327.2	426.9	429.4	429.4	430.8
P1-100-60	423.1	416.1	411.6	411.7	467.6	469.5	469.3	468.9
P1-200-180	460.4	453.5	449.3	448.7	495.6	495.6	495.3	495.5
P1-200-30	303.2	298.8	296.5	296.7	397.8	399.7	399.3	399.8
P1-200-60	413.1	404.4	404.9	405	452.2	454.1	453.5	453.5
P1-600-180	454.7	446.7	441.4	441.3	478.5	480.8	480.6	480
P1-600-30	296	291.4	289.7	298.1	383	387.4	385.9	386.2
P1-600-60	398.3	393.3	391.8	389.6	431.1	434.3	434.7	435.6
