Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	0.125755	0.3221	0.3157
20	0.147566	0.3216	0.3166
30	0.168019	0.3172	0.3134
40	0.186786	0.3238	0.3149
50	0.204983	0.3194	0.3168
60	0.222527	0.3057	0.3176
70	0.238555	0.3209	0.3136
80	0.251838	0.3276	0.3129
90	0.265465	0.322	0.3129
100	0.277461	0.3167	0.3128
150	0.325814	0.3369	0.3141
300	0.376884	0.3198	0.3043
450	0.376548	0.357	0.3188
600	0.370196	0.3458	0.3128
750	0.36489	0.3209	0.3158
900	0.357147	0.3384	0.3131
