Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	0.295366	0.4172	0.3842
20	0.306044	0.412	0.3835
30	0.315984	0.4152	0.3871
40	0.326094	0.4146	0.3847
50	0.335645	0.4175	0.3871
60	0.344908	0.4124	0.3842
70	0.353785	0.4153	0.3854
80	0.362526	0.4185	0.3866
90	0.370904	0.4129	0.3872
100	0.379288	0.4158	0.3829
150	0.415509	0.4216	0.3822
300	0.484983	0.4168	0.385
450	0.510213	0.4059	0.3836
600	0.512159	0.3854	0.383
750	0.508978	0.404	0.3832
900	0.505057	0.444	0.3826
