Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	0.022736	0.3923	0.3877
20	0.048007	0.3881	0.3914
30	0.07114	0.391	0.3917
40	0.093905	0.3907	0.3898
50	0.11611	0.394	0.392
60	0.13839	0.3854	0.3889
70	0.160453	0.3927	0.3905
80	0.178927	0.396	0.392
90	0.197705	0.3911	0.3914
100	0.215497	0.39	0.3922
150	0.296742	0.3928	0.3894
300	0.444071	0.4021	0.3926
450	0.490612	0.3608	0.3911
600	0.49662	0.3582	0.39
750	0.493279	0.3996	0.3891
900	0.488909	0.413	0.3887
