Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	0.342686	0.4266	0.3812
20	0.351787	0.4205	0.3803
30	0.360257	0.4281	0.3815
40	0.368648	0.4189	0.3799
50	0.376808	0.4223	0.3781
60	0.384622	0.4212	0.3811
70	0.392153	0.4199	0.3774
80	0.399437	0.4186	0.3793
90	0.406408	0.4215	0.38
100	0.413113	0.4203	0.3796
150	0.442739	0.412	0.3801
300	0.49897	0.4204	0.3814
450	0.516245	0.4569	0.3791
600	0.515676	0.4168	0.3819
750	0.511403	0.3696	0.3813
900	0.50681	0.428	0.3809
