Vd	Vth_RM	Vth_TCM	Vth_SDLM
10	-0.578774	0.3165	0.2664
20	-0.529405	0.3157	0.2654
30	-0.489296	0.3187	0.2632
40	-0.450667	0.322	0.2647
50	-0.41168	0.317	0.2664
60	-0.373402	0.3197	0.2672
70	-0.330045	0.3224	0.2626
80	-0.300156	0.3208	0.2623
90	-0.267504	0.319	0.2663
100	-0.234093	0.3213	0.2656
150	-0.081542	0.3221	0.2637
300	0.214158	0.3242	0.2628
450	0.329035	0.3443	0.2655
600	0.353176	0.335	0.2621
750	0.34789	0.3205	0.2626
900	0.333787	0.3099	0.2661
