Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.365017	0.3923	0.3877
20	0.373374	0.3881	0.3914
30	0.380277	0.391	0.3917
40	0.386775	0.3907	0.3898
50	0.392765	0.394	0.392
60	0.398585	0.3854	0.3889
70	0.403868	0.3927	0.3905
80	0.408696	0.396	0.392
90	0.412985	0.3911	0.3914
100	0.41695	0.39	0.3922
150	0.4319	0.3928	0.3894
300	0.442256	0.4021	0.3926
450	0.43942	0.3608	0.3911
600	0.436007	0.3582	0.39
750	0.432671	0.3996	0.3891
900	0.429295	0.413	0.3887
