Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.414952	0.4266	0.3812
20	0.418982	0.4205	0.3803
30	0.422467	0.4281	0.3815
40	0.425534	0.4189	0.3799
50	0.428445	0.4223	0.3781
60	0.431099	0.4212	0.3811
70	0.433415	0.4199	0.3774
80	0.435607	0.4186	0.3793
90	0.437589	0.4215	0.38
100	0.439362	0.4203	0.3796
150	0.445468	0.412	0.3801
300	0.448115	0.4204	0.3814
450	0.445036	0.4569	0.3791
600	0.441526	0.4168	0.3819
750	0.438366	0.3696	0.3813
900	0.435197	0.428	0.3809
