Dispositivi	SDLM grado 2	SDLM grado 4	SDLM grado 6	SDLM grado 8	TCM grado 2	TCM grado 4	TCM grado 6	TCM grado 8
P1-100-30	355.3	350.3	355.8	358.2	457.7	460.1	459.4	457.9
P1-100-60	449.5	441.6	435.8	441.5	500.5	501.0	500.8	500.8
P1-200-180	489.9	483.2	482.7	481.6	535.2	535.6	535.3	535.4
P1-200-30	327.8	322.7	323.0	322.2	425.3	428.4	429.8	429.9
P1-200-60	440.2	432.9	430.9	432.9	483.7	487.0	485.8	484.9
P1-600-180	486.7	479.5	474.2	473.3	518.5	520.1	519.6	520.2
P1-600-30	317.4	316.2	325.7	326.0	410.8	414.1	412.3	413.9
P1-600-60	428.5	423.9	421.2	419.2	463.6	466.5	467.8	468.3
