Vd	Lin_fit_Id	Vth_TCM	Vth_SDLM
10	0.406924	0.4164	-0.1608
20	0.411032	0.4205	0.4136
30	0.414846	0.425	0.4114
40	0.418417	0.4287	0.4146
50	0.421658	0.4334	0.4154
60	0.424675	0.4366	0.4167
70	0.427314	0.4409	0.4193
80	0.429865	0.4439	0.4169
90	0.432155	0.4474	0.416
100	0.4342	0.4511	0.4154
150	0.441566	0.4664	0.4098
300	0.445846	0.4938	0.3978
450	0.443467	0.5084	0.3838
600	0.440746	0.5088	0.3846
750	0.438036	0.4943	0.3818
900	0.435257	0.4809	0.3718
