Vd	Vth_RM	Vth_TCM	Vth_SDLM
20	0.436519	0.35	-0.16
30	0.437427	0.355	-0.115
40	0.441079	0.36	-0.165
50	0.443055	0.36	-0.115
60	0.445806	0.365	-0.19
70	0.446554	0.365	-0.11
80	0.448996	0.37	-0.175
90	0.452098	0.375	-0.185
100	0.453487	0.385	-0.145
150	0.47603	0.405	0.38
300	0.478612	0.42	0.385
450	0.451668	0.42	0.355
600	0.43402	0.415	0.35
750	0.427163	0.405	0.355
900	0.422911	0.41	0.355
