Vd	Vth_RM	Vth_TCM	Vth_SDLM
20	0.4207	0.315	-0.205
30	0.422966	0.32	-0.16
40	0.428062	0.32	-0.175
50	0.429691	0.325	-0.18
60	0.420907	0.325	-0.185
70	0.43834	0.325	-0.135
80	0.439487	0.33	-0.19
90	0.447633	0.335	-0.19
100	0.448268	0.335	-0.19
150	0.466831	0.365	0.34
300	0.477536	0.36	0.31
450	0.435324	0.345	0.29
600	0.386827	0.34	0.28
750	0.363146	0.32	0.28
900	0.349799	0.32	0.28
