Vd	Vth_RM	Vth_TCM	Vth_SDLM
20	0.443486	0.345	-0.115
30	0.436716	0.355	-0.12
40	0.440337	0.355	-0.15
50	0.444911	0.36	-0.19
60	0.436974	0.365	-0.14
70	0.450294	0.365	-0.19
80	0.454292	0.37	-0.17
90	0.455533	0.37	-0.19
100	0.456857	0.375	-0.15
150	0.478404	0.405	0.375
300	0.487954	0.415	0.355
450	0.458934	0.415	0.355
600	0.433987	0.405	0.345
750	0.424767	0.405	0.34
900	0.419786	0.4	0.355
