Dispositivi	SDLM grado 2	SDLM grado 4	SDLM grado 6	SDLM grado 8	TCM grado 2	TCM grado 4	TCM grado 6	TCM grado 8
P1-100-30	330.6	327.0 	329.9	329.6	427.2	430.3	430.7	431.9
P1-100-60	423.0	415.6	409.9	407.5	468.4	469.8	469.6	469.7
P1-200-180	461.4	455.1	452.1	450.1	496.4	497.2	497.1	496.3
P1-200-30	304.1	296.7	292.4	291.8	399.0	401.5	401.0	402.0
P1-200-60	415.0	406.2	403.9	403.0	452.1	455.0	455.2	454.5
P1-600-180	456.2	447.3	443.4	443.5	479.5	482.2	481.5	481.1
P1-600-30	293.7	288.8	293.0 	293.3	383.8	388.5	386.6	387.6
P1-600-60	400.6	394.4	393.4	390.6	432.3	435.5	435.4	437.3
